L,C,R
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.551835595212435526e-01,4.896328809575128949e-01,2.551835595212435526e-01
3.420387318477511873e-01,3.442038747716916203e-01,3.137573933805570814e-01
3.698412970753277573e-01,2.761367727927925841e-01,3.540219301318796030e-01
4.183615789446999966e-01,1.625142008879234268e-01,4.191242201673764933e-01
4.395021013244455599e-01,1.290467503359840618e-01,4.314511483395703784e-01
4.800361240524072537e-01,1.078387275895702768e-01,4.121251483580223862e-01
4.874637132503781833e-01,1.109679814229241335e-01,4.015683053266975167e-01
4.792202613095225550e-01,1.213482883079359392e-01,3.994314503825413532e-01
4.942371735652766329e-01,1.255630217591162945e-01,3.801998046756069338e-01
5.135574932760000877e-01,1.020211253235285831e-01,3.844213814004711072e-01
5.189784296703283673e-01,1.015206250262623983e-01,3.795009453034090541e-01
5.277320681960895321e-01,1.099285910854133630e-01,3.623393407184968273e-01
5.247317713183268229e-01,1.270436572183384905e-01,3.482245714633344646e-01
5.491253666959207136e-01,1.170595541035101272e-01,3.338150792005689649e-01
5.594248407605002527e-01,1.274487835419113313e-01,3.131263756975882218e-01
5.943894501553664833e-01,1.065286263009529028e-01,2.990819235436804058e-01
6.322539964793145728e-01,8.409168033124223007e-02,2.836543231894430028e-01
6.140589075517806084e-01,1.071673870782370724e-01,2.787737053699820833e-01
6.449322277075837384e-01,8.178176291670442855e-02,2.732860093757114583e-01
6.550394186225549920e-01,8.293740237730476417e-02,2.620231790001399386e-01
6.472470982538951478e-01,1.048937820413765598e-01,2.478591197047281258e-01
6.405673951273704869e-01,1.129864172240994530e-01,2.464461876485296576e-01
6.351367210623924953e-01,1.229048073276457070e-01,2.419584716099615340e-01
6.295838695817070896e-01,1.428678060456458898e-01,2.275483243726467431e-01
6.404020538162640275e-01,1.212769341084960206e-01,2.383210120752396466e-01
6.627241584469116820e-01,8.866344894499064710e-02,2.486123926080973656e-01
6.639910781419512409e-01,1.043338686470044463e-01,2.316750532110440630e-01
6.662691794575619220e-01,1.107143198290178737e-01,2.230165007134199129e-01
6.896476625160313789e-01,9.586618030068566609e-02,2.144861571832826774e-01
7.389875594454212715e-01,5.254572580378460284e-02,2.084667147507937579e-01
7.205172651248009652e-01,8.434653384934698295e-02,1.951362010258518020e-01
7.007125733538690504e-01,1.181846148850131811e-01,1.811028117611175048e-01
7.071161496289479764e-01,1.194933219834170696e-01,1.733905283876346903e-01
