L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
1.422188553937174049e+01,7.155622892125653323e+01,1.422188553937174049e+01
2.538375983172731409e+01,5.079558573684289513e+01,2.382065443142980143e+01
2.911497819544416288e+01,4.385858758825393267e+01,2.702643421630190801e+01
3.421775925550829101e+01,3.349248776152335694e+01,3.228975298296835916e+01
3.886588996271326124e+01,2.782614443957956496e+01,3.330796559770718090e+01
4.102124196204776041e+01,2.644894568775302446e+01,3.252981235019921513e+01
4.323398982655364620e+01,2.473237384110909076e+01,3.203363633233727370e+01
4.686582228485766421e+01,2.145327451857572854e+01,3.168090319656661791e+01
4.798178614745060599e+01,2.230373841909451471e+01,2.971447543345488285e+01
5.085512410569533159e+01,2.064906347435644918e+01,2.849581241994822278e+01
5.240589551321505013e+01,1.816183197458076748e+01,2.943227251220419305e+01
5.490692316815979979e+01,1.740073275912636674e+01,2.769234407271383702e+01
5.574912550104725284e+01,1.854413698122152709e+01,2.570673751773122717e+01
5.783958691930303786e+01,1.745118644550707288e+01,2.470922663518989637e+01
5.694652217166662211e+01,1.980928543205377323e+01,2.324419239627961531e+01
5.673647728404005619e+01,2.130530727656758927e+01,2.195821543939236165e+01
5.584458408073555091e+01,2.239350772284106128e+01,2.176190819642339491e+01
5.805693754939113660e+01,2.072732806326627042e+01,2.121573438734260719e+01
6.120576914467699225e+01,1.894299303266525669e+01,1.985123782265776171e+01
6.019436923820183694e+01,2.072626380786253719e+01,1.907936695393563298e+01
6.081461737873159024e+01,2.092596392450301934e+01,1.825941869676538687e+01
6.368484903492036864e+01,1.877401472523387227e+01,1.754113623984577330e+01
6.523576178633048528e+01,1.728163781287791068e+01,1.748260040079161115e+01
6.892891920684239437e+01,1.500723863447417905e+01,1.606384215868342835e+01
6.785735992186322108e+01,1.713974203330697677e+01,1.500289804482980571e+01
7.035698317811566938e+01,1.485652743304057744e+01,1.478648938884376385e+01
7.092828262528381345e+01,1.522004942611248346e+01,1.385166794860371908e+01
7.043884732766746026e+01,1.666061616716649496e+01,1.290053650516605366e+01
7.283072692355735001e+01,1.514405916250955642e+01,1.202521391393311490e+01
7.254691788245648354e+01,1.570818268018420660e+01,1.174489943735932052e+01
