L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
1.343261083021156566e+01,6.535813250504457983e+01,2.120925666474385096e+01
2.109429036938274393e+01,5.403353757869252405e+01,2.487217205192472136e+01
2.607395548532587171e+01,3.165282772559013225e+01,4.227321678908398184e+01
2.657854986785481799e+01,2.674684969584194860e+01,4.667460043630322275e+01
2.928195203460018092e+01,2.364455001938842216e+01,4.707349794601139337e+01
3.007626532412653830e+01,2.111343588246417724e+01,4.881029879340928090e+01
3.141204117617006730e+01,2.256986562196538060e+01,4.601809320186455210e+01
3.190645136313669639e+01,2.527511358744242997e+01,4.281843504942087719e+01
3.492169309727964333e+01,1.619335496120622508e+01,4.888495194151412448e+01
3.516939313675734269e+01,1.771435211857113146e+01,4.711625474467152941e+01
3.471507554406291973e+01,1.961895922464665887e+01,4.566596523129042140e+01
3.545133036298778251e+01,2.078642734130270142e+01,4.376224229570951252e+01
3.670924428817951224e+01,2.120832369587302324e+01,4.208243201594745386e+01
3.855957336832965865e+01,2.171405808171353513e+01,3.972636854995679556e+01
4.007391594617333652e+01,1.823805784379542771e+01,4.168802621003123932e+01
4.056212871039804924e+01,1.824029731030612922e+01,4.119757397929583220e+01
4.117657882462459895e+01,1.745864114650690624e+01,4.136478002886850192e+01
4.116451213825236266e+01,1.920779987078907425e+01,3.962768799095856309e+01
4.294799665188994453e+01,1.799181726026694861e+01,3.906018608784311397e+01
4.718910669060537089e+01,1.522664102872591663e+01,3.758425228066870716e+01
4.717269011778969201e+01,1.738974687559246490e+01,3.543756300661783598e+01
4.831183475651917547e+01,1.823266045548415804e+01,3.345550478799665939e+01
4.857440001316223288e+01,1.905915155313678255e+01,3.236644843370098101e+01
4.905188759508752128e+01,1.950597439499236785e+01,3.144213800992009666e+01
4.873991080790046482e+01,1.988384649267765525e+01,3.137624269942186572e+01
5.079103646649429038e+01,1.869818065712697930e+01,3.051078287637872322e+01
5.154158648939579024e+01,1.918552289194905924e+01,2.927289061865513986e+01
5.092300511735019342e+01,1.950686710019570924e+01,2.957012778245409024e+01
5.303495914980972969e+01,1.437405872773071103e+01,3.259098212245955750e+01
5.182421979490044350e+01,1.605577337351535405e+01,3.212000683158419889e+01
