L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
7.443593970436950258e+00,8.511281205912608527e+01,7.443593970436950258e+00
1.850203977561765001e+01,6.445470472176577914e+01,1.704325550261655664e+01
2.552698252081397001e+01,5.204255331100586801e+01,2.243046416818015487e+01
3.273744448207401803e+01,4.075790891867138299e+01,2.650464659925458832e+01
3.690398260872022007e+01,3.477515944526444969e+01,2.832085794601531958e+01
3.844799740768536367e+01,3.219732154102452171e+01,2.935468105129010397e+01
4.253095943991571204e+01,2.971618095417141703e+01,2.775285960591286027e+01
4.587296029225868921e+01,2.635623793657304859e+01,2.777080177116825510e+01
4.778792186655551433e+01,2.340990161296582883e+01,2.880217652047865329e+01
4.976179646615562291e+01,2.197395712170047943e+01,2.826424641214390832e+01
5.031175539610816116e+01,2.241577124950972077e+01,2.727247335438212872e+01
5.190750104272643739e+01,2.053113738157627566e+01,2.756136157569730116e+01
5.231654938718824610e+01,2.102163079264461842e+01,2.666181982016714969e+01
5.331871905211377083e+01,2.213562582264491496e+01,2.454565512524132131e+01
5.479851670710275613e+01,2.152925991250984694e+01,2.367222338038739693e+01
5.680639064337660926e+01,1.980641743290567547e+01,2.338719192371772593e+01
5.723174229111990741e+01,1.998413181613910794e+01,2.278412589274099176e+01
5.761344741743172193e+01,1.991200430364891005e+01,2.247454827891938578e+01
6.057746332802295086e+01,1.787090166113550183e+01,2.155163501084156152e+01
6.215534574550286351e+01,1.707524195476974427e+01,2.076941229972740288e+01
6.260633080382388727e+01,1.827830680470193059e+01,1.911536239147418925e+01
6.534314796222618327e+01,1.706190923861511166e+01,1.759494279915870507e+01
6.886295166204250506e+01,1.381738511372872047e+01,1.731966322422876914e+01
6.831063161904150149e+01,1.538869118210014442e+01,1.630067719885834876e+01
6.836699201060022801e+01,1.580778629773891275e+01,1.582522169166085746e+01
6.798582299037046539e+01,1.649139129369992673e+01,1.552278571592960965e+01
6.887016566178105847e+01,1.619514731082797354e+01,1.493468702739097864e+01
7.015964552004209054e+01,1.496827481553366646e+01,1.487207966442423590e+01
6.934426182855999343e+01,1.612601183455500831e+01,1.452972633688499116e+01
6.984309359841692810e+01,1.575094842427118103e+01,1.440595797731189975e+01
