L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
9.199511786446445072e+00,7.819394891575537088e+01,1.260653929779819116e+01
2.081938794836882423e+01,5.201744408522090879e+01,2.716316796641027409e+01
3.024463041654611573e+01,3.083578464454463131e+01,3.891958493890924586e+01
3.342210574547578261e+01,2.597974640902754473e+01,4.059814784549666911e+01
3.554613555687381421e+01,2.212944112217164161e+01,4.232442332095454418e+01
3.680167033318006276e+01,2.256859018317915755e+01,4.062973948364077614e+01
3.974588988862220873e+01,1.937415936884230661e+01,4.087995074253549177e+01
4.060989824407718629e+01,2.056622772365215823e+01,3.882387403227065903e+01
4.117684772259550385e+01,2.135266345398940757e+01,3.747048882341509568e+01
4.294046233085840214e+01,2.196406020420437244e+01,3.509547746493722542e+01
4.682884936954838651e+01,1.486679157169654353e+01,3.830435905875507530e+01
4.794220643740548127e+01,1.499651453078729446e+01,3.706127903180722427e+01
4.872112401251208524e+01,1.594109383055281803e+01,3.533778215693510560e+01
4.945004932705909795e+01,1.484511241168077156e+01,3.570483826126013582e+01
4.965002025545151554e+01,1.412622820790407907e+01,3.622375153664440717e+01
4.874802757653834107e+01,1.628312557175984310e+01,3.496884685170181228e+01
4.819514247444696053e+01,1.778806951934100411e+01,3.401678800621203180e+01
4.880526313018823004e+01,1.660245694337203304e+01,3.459227992643973693e+01
4.878822512277152867e+01,1.824914756106163338e+01,3.296262731616683794e+01
4.805558415749288059e+01,2.051071989088541514e+01,3.143369595162170071e+01
4.898566324599133281e+01,1.862409203665553292e+01,3.239024471735312005e+01
4.834458237213405596e+01,1.981053887137404246e+01,3.184487875649188382e+01
4.814273528586778639e+01,2.069361992167069531e+01,3.116364479246150765e+01
4.931793923554067760e+01,1.824542611272411463e+01,3.243663465173519711e+01
4.880933056096716882e+01,2.046678364760830604e+01,3.072388579142451093e+01
4.871674738580896502e+01,2.101412156589640645e+01,3.026913104829461432e+01
4.927232209708225241e+01,2.007163348463759078e+01,3.065604441828014615e+01
4.857424616326247246e+01,2.268009229109182456e+01,2.874566154564569231e+01
5.058987365871136177e+01,1.900695738206929875e+01,3.040316895921933948e+01
5.163012522320918407e+01,1.924060182561200349e+01,2.912927295117880888e+01
