L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
7.556317416848493451e+00,8.488736516630301310e+01,7.556317416848493451e+00
2.088269984951984526e+01,5.664734409296345774e+01,2.246995605751669700e+01
2.719289807988632290e+01,4.607033425137934302e+01,2.673676766873433053e+01
3.359234753596906131e+01,3.742931917589940838e+01,2.897833328813152320e+01
3.882627823555995406e+01,3.208424110774883076e+01,2.908948065669121164e+01
3.945442456964227063e+01,3.192324043284527946e+01,2.862233499751244992e+01
4.179844770280030986e+01,2.710065182730157929e+01,3.110090046989810375e+01
4.269607411551459109e+01,2.622888273572126749e+01,3.107504314876413787e+01
4.584382795284668077e+01,2.432624722201744660e+01,2.982992482513587262e+01
4.855975151840332416e+01,2.222385125146573515e+01,2.921639723013093359e+01
4.949168780982623872e+01,2.106788596875413333e+01,2.944042622141962440e+01
5.314843183117662306e+01,1.819969258484272245e+01,2.865187558398065804e+01
5.285538599990731967e+01,1.931766919893896883e+01,2.782694480115371505e+01
5.216940848978267553e+01,2.172939916734318544e+01,2.610119234287414614e+01
5.228874231175054632e+01,2.277266581439397797e+01,2.493859187385547571e+01
5.318734931356448925e+01,2.092886190585580408e+01,2.588378878057970311e+01
5.387468802991084971e+01,2.042368534861881102e+01,2.570162662147034993e+01
5.533498560487759477e+01,2.056787503473753986e+01,2.409713936038486182e+01
5.482409892982460775e+01,2.145475337685483552e+01,2.372114769332054962e+01
5.477818996784293404e+01,2.211781672952222166e+01,2.310399330263484785e+01
5.802589744658441617e+01,1.898336027958931638e+01,2.299074227382627100e+01
5.817725348336534097e+01,1.854367107363314204e+01,2.327907544300151699e+01
5.769440383344890932e+01,2.002162187389957992e+01,2.228397429265151075e+01
5.860217979100762165e+01,2.043575218893471046e+01,2.096206802005767145e+01
6.307777948747949637e+01,1.724516812603081917e+01,1.967705238648967381e+01
6.263476705926357369e+01,1.849719588690191685e+01,1.886803705383450236e+01
6.442419203725582122e+01,1.742109682079028232e+01,1.815471114195388580e+01
6.596402404928124952e+01,1.629507852131354539e+01,1.774089742940520864e+01
6.953529009983544995e+01,1.363810759123074767e+01,1.682660230893380415e+01
6.910734491096779664e+01,1.501457175439828085e+01,1.587808333463391541e+01
