L,C,R
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.188839412265520618e-01,7.622321175468959042e-01,1.188839412265520618e-01
2.639674144338980954e-01,4.974509989845575797e-01,2.385815865815444359e-01
3.234541470817791087e-01,3.830023104798379041e-01,2.935435424383829872e-01
4.128216315698253203e-01,2.434853642872484292e-01,3.436930041429263616e-01
4.568609023194756258e-01,1.778502754463178737e-01,3.652888222342066671e-01
4.847385136377391213e-01,1.597225971054582194e-01,3.555388892568027703e-01
5.189548487168065272e-01,1.007400324528168883e-01,3.803051188303767094e-01
5.250515511973903315e-01,1.201806748464237934e-01,3.547677739561861388e-01
5.370359924446967970e-01,1.289150376352820315e-01,3.340489699200213658e-01
5.393661818764867721e-01,1.399597067687133600e-01,3.206741113548000621e-01
5.457425922576845112e-01,1.356722182487557493e-01,3.185851894935599060e-01
6.034500896412228199e-01,8.821959585853654529e-02,3.083303145002408430e-01
6.007499008827232867e-01,1.011385925084570814e-01,2.981115066088198540e-01
6.180313717835013154e-01,9.991118974348832393e-02,2.820574384730105688e-01
6.302392391057309862e-01,8.964926396465308645e-02,2.801114969296161772e-01
6.223512971735359889e-01,1.085135519363147755e-01,2.691351508901495548e-01
6.298622225087220361e-01,1.090692521232033835e-01,2.610685253680748996e-01
6.152905362412386392e-01,1.398683753020630305e-01,2.448410884566986079e-01
6.139443480777514450e-01,1.345289925494192740e-01,2.515266593728295863e-01
6.592984262461130118e-01,9.123537488413994978e-02,2.494661988697473021e-01
6.449738294075266776e-01,1.203320929303555581e-01,2.346940776621179725e-01
6.671260926397870605e-01,1.092771815206850933e-01,2.235967258395281099e-01
6.621380391440574442e-01,1.232742241088542606e-01,2.145877367470885033e-01
6.654759971404131669e-01,1.143417344989729051e-01,2.201822683606142750e-01
6.701210349717627857e-01,1.157522874065974039e-01,2.141266776216399770e-01
6.791501514422740859e-01,1.103926210032302041e-01,2.104572275544959459e-01
6.869106537474217733e-01,1.128252851129186718e-01,2.002640611396598047e-01
6.998041298261218346e-01,1.053791748894034319e-01,1.948166952844750111e-01
7.092264080537425963e-01,1.075757935533601939e-01,1.831977983928975151e-01
7.337584426607822730e-01,9.358875617456349771e-02,1.726528011646543959e-01
7.373936891105983271e-01,9.569329004060091182e-02,1.669130208488011358e-01
7.147373813106693285e-01,1.263736056554485288e-01,1.588890130338823647e-01
7.275931855335449061e-01,1.183342453936245126e-01,1.540725690728308450e-01
7.479911704005488549e-01,1.070953231451971105e-01,1.449135064542544094e-01
8.082531728473579813e-01,5.283417162307790099e-02,1.389126555295642773e-01
8.025888284585154242e-01,6.745710695616309593e-02,1.299540645853218268e-01
8.027837083024670362e-01,7.541800544741791845e-02,1.217982862501153507e-01
8.177419220612398565e-01,6.698311819256462518e-02,1.152749597461958930e-01
8.071614986248718537e-01,8.660466267332783685e-02,1.062338387018007119e-01
7.868906635045734843e-01,1.116660449062880783e-01,1.014432915891387982e-01
7.996099717518344585e-01,9.582721177047830163e-02,1.045628164776875590e-01
7.795329549825708026e-01,1.209441063980777470e-01,9.952293861935174180e-02
8.234064956615141373e-01,7.260017349608183235e-02,1.039933308424043357e-01
8.412915108954746035e-01,5.650689767151238080e-02,1.022015914330133002e-01
8.189243654609903444e-01,8.615294923327418419e-02,9.492268530573573504e-02
8.165885833945584205e-01,8.821692802562022817e-02,9.519448857982157342e-02
8.275107850829488410e-01,8.054775510914448378e-02,9.194145980790689732e-02
8.294682994816294785e-01,8.092984418526723289e-02,8.960185633310353837e-02
8.190521171222161501e-01,9.490974532000887032e-02,8.603813755777517391e-02
8.141035510599582414e-01,1.029363325790004641e-01,8.296011636104150266e-02
8.174740284337425056e-01,1.030775544676991728e-01,7.944841709855857137e-02
8.058971345542907949e-01,1.190655046581973464e-01,7.503736078751210847e-02
7.964813349892083671e-01,1.281646117392232775e-01,7.535405327156845245e-02
8.959710535277265464e-01,2.051225422065466528e-02,8.351669225161900689e-02
8.578066272893545285e-01,6.474574284435333227e-02,7.744762986629233348e-02
8.362291874318771301e-01,9.151295374763655788e-02,7.225785882048653408e-02
8.413595855360863629e-01,9.058493177368041882e-02,6.805548269023345420e-02
8.332632110685668225e-01,1.000801113239110779e-01,6.665667760752230775e-02
8.096700533224405749e-01,1.264051497630701015e-01,6.392479691448947621e-02
8.065422125108638873e-01,1.272350696048296925e-01,6.622271788430651729e-02
7.813408801702590445e-01,1.492133466430531907e-01,6.944577318668787580e-02
7.779384477415205446e-01,1.489076294192009930e-01,7.315392283927865669e-02
7.647702427092739619e-01,1.569171795998251240e-01,7.831257769090090026e-02
7.593846130521200166e-01,1.562090482987300299e-01,8.440633864915005058e-02
7.445614697970274198e-01,1.700521776025883947e-01,8.538635260038437980e-02
7.561665092149154610e-01,1.604611336032579494e-01,8.337235718182683941e-02
7.853728528474787085e-01,1.241317097325857211e-01,9.049543741993576473e-02
7.810979624129200660e-01,1.328514085176940307e-01,8.605062906938616696e-02
7.578894712299363290e-01,1.554503707754902320e-01,8.666015799457359170e-02
7.292662514336715196e-01,1.825457070789424097e-01,8.818804148738616788e-02
7.253169429256387524e-01,1.823835080120924934e-01,9.229954906226899014e-02
7.231675385724293248e-01,1.796484274724298169e-01,9.718403395514098320e-02
7.201902242273018340e-01,1.719788882128438778e-01,1.078308875598543715e-01
6.787996399979351336e-01,2.060447932603758359e-01,1.151555667416891693e-01
8.236127853243968566e-01,4.714466330383815240e-02,1.292425513717652130e-01
7.729003388472748259e-01,1.076693793732617088e-01,1.194302817794637706e-01
7.197427385373345032e-01,1.616406475643881180e-01,1.186166138982775453e-01
6.771535317055215053e-01,2.012719121437908376e-01,1.215745561506877681e-01
6.216658070588210183e-01,2.481937046827050186e-01,1.301404882584740741e-01
6.831010587756671804e-01,1.712308130615646795e-01,1.456681281627682789e-01
