L,C,R
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.352980945991767214e-01,5.294038108016465571e-01,2.352980945991767214e-01
2.947804616485616425e-01,4.275439947113520156e-01,2.776755436400863419e-01
3.843961093682730090e-01,2.574542653714301244e-01,3.581496252602968666e-01
4.391251493003708317e-01,1.499964800560135425e-01,4.108783706436156535e-01
4.296924114868164724e-01,1.726995653502129968e-01,3.976080231629705031e-01
4.553897671508239098e-01,1.654371686021222365e-01,3.791730642470538815e-01
4.606322630968296972e-01,1.834339881068268174e-01,3.559337487963435409e-01
4.954844418829117969e-01,1.524425174323776888e-01,3.520730406847106253e-01
5.047340389358259127e-01,1.634653339520927284e-01,3.318006271120814699e-01
5.265221461917604096e-01,1.050203983396317403e-01,3.684574554686079750e-01
5.248047540212259499e-01,1.196564556773943855e-01,3.555387903013798034e-01
5.288337495983469472e-01,1.166128015758492592e-01,3.545534488258039185e-01
5.381704576451699085e-01,1.176200923624895756e-01,3.442094499923406548e-01
5.885776830435012208e-01,6.883597540078369159e-02,3.425863415557152680e-01
5.764153826491192900e-01,1.005600686186333415e-01,3.230245487322475628e-01
5.643835498911717874e-01,1.281623489589985843e-01,3.074541011498298504e-01
5.730404288193616802e-01,1.319551617922787023e-01,2.950044093883598118e-01
5.722478269807500517e-01,1.411420095047400958e-01,2.866101635145100190e-01
5.920019335746194988e-01,1.344401258152818357e-01,2.735579406100988598e-01
5.845015073599184596e-01,1.533475691477547975e-01,2.621509234923269371e-01
6.054843371998177570e-01,1.458164163506936173e-01,2.486992464494888200e-01
6.154575363869156934e-01,1.181521259393521761e-01,2.663903376737322692e-01
6.526397271493127317e-01,1.015459248887511795e-01,2.458143479619362415e-01
6.748478456454793939e-01,8.593942855661775015e-02,2.392127257979029531e-01
6.837094515419123164e-01,8.232521646392079728e-02,2.339653319941669696e-01
6.808976894901906940e-01,9.356365587280614238e-02,2.255386546370032608e-01
6.749720480414793666e-01,1.123436331560713763e-01,2.126843188024493958e-01
6.846924897965878110e-01,1.039594719309092224e-01,2.113480382725030082e-01
7.121882418367291301e-01,6.694146869736977701e-02,2.208702894659011762e-01
7.057360092582736222e-01,8.347373973012944814e-02,2.107902510115969852e-01
6.906305290108412098e-01,1.059001653157858880e-01,2.034693056733730410e-01
6.893011598789070549e-01,1.104201814787065528e-01,2.002786586423865867e-01
6.878650075425906119e-01,1.267046558380812149e-01,1.854303366193280900e-01
6.824577176278464608e-01,1.378059905394009577e-01,1.797362918327526649e-01
7.120505774116707709e-01,1.131821962221518652e-01,1.747672263661772252e-01
7.247416656109618716e-01,1.062596829438719193e-01,1.689986514451661814e-01
7.335247632024887166e-01,1.003450587552446177e-01,1.661301780422666796e-01
7.470565894007276109e-01,9.511638274797112880e-02,1.578270278513011493e-01
7.434805083506674794e-01,1.002532173396436521e-01,1.562662743096888407e-01
7.452723640255028981e-01,1.027796239072850670e-01,1.519480120672120071e-01
7.612459216721793043e-01,8.811644922901815113e-02,1.506376290988024891e-01
7.629712608912611049e-01,9.206443284968215957e-02,1.449643062590567077e-01
7.743114396887779138e-01,8.614775050745857032e-02,1.395408098037634881e-01
7.543312936303878669e-01,1.132061688324346588e-01,1.324625375371774605e-01
7.908741805830462601e-01,7.590362415298845811e-02,1.332221952639652818e-01
