L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
1.994687551700262063e+01,6.010624896599475875e+01,1.994687551700262063e+01
2.948598729914796834e+01,4.336595207353037296e+01,2.714806062732165870e+01
3.235888491114897647e+01,3.855094102959966307e+01,2.909017405925136757e+01
3.720571238571695716e+01,3.211593253049788643e+01,3.067835508378516352e+01
4.214341490580178373e+01,2.798220664423444148e+01,2.987437844996378189e+01
4.297373073892898532e+01,2.950740583187079480e+01,2.751886342920022699e+01
4.369405083486626040e+01,2.881585828077589539e+01,2.749009088435784420e+01
4.799677922688814391e+01,2.499934726711823529e+01,2.700387350599362080e+01
5.038126527127085552e+01,2.272313925455521755e+01,2.689559547417391627e+01
5.420598401077909756e+01,1.994149252489047441e+01,2.585252346433042803e+01
5.468422735727122586e+01,1.985076246143290746e+01,2.546501018129586669e+01
5.429199545298780549e+01,2.076764014669857161e+01,2.494036440031361579e+01
5.756067470461550073e+01,1.684435226205146208e+01,2.559497303333303009e+01
5.916009939375530280e+01,1.550109607007248513e+01,2.533880453617220496e+01
5.935091531854826030e+01,1.716038113799544362e+01,2.348870354345629607e+01
6.082696002574187588e+01,1.649382631700218838e+01,2.267921365725593219e+01
6.151466775515259400e+01,1.695594506575285365e+01,2.152938717909455590e+01
6.151409359359708873e+01,1.807788193518391395e+01,2.040802447121899732e+01
6.214579573478877705e+01,1.718566234552284655e+01,2.066854191968836574e+01
6.324355974807189540e+01,1.647264577111176109e+01,2.028379448081634351e+01
6.185114676494455210e+01,1.912776734784733179e+01,1.902108588720811255e+01
6.230437107097000649e+01,1.960945927987251736e+01,1.808616964915746550e+01
6.477758082720517052e+01,1.765127080367620138e+01,1.757114836911861389e+01
6.422160822309051298e+01,1.918605719027863543e+01,1.659233458663084093e+01
6.420691488544663628e+01,1.934819439122621176e+01,1.644489072332713775e+01
6.438969185345864332e+01,1.894538699549114469e+01,1.666492115105018357e+01
6.511967031068029144e+01,1.873840607484058296e+01,1.614192361447910784e+01
6.922497259777320266e+01,1.577885261468335898e+01,1.499617478754341882e+01
7.098275074797173545e+01,1.502106733196681176e+01,1.399618192006142259e+01
7.149034669256052155e+01,1.500370736593159648e+01,1.350594594150786065e+01
