L,C,R
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.955669221637535038e-02,8.008866155672492715e-01,9.955669221637535038e-02
3.100074877979993593e-01,3.933098116439653347e-01,2.966827005580353616e-01
4.186048896977683231e-01,1.696222314944407783e-01,4.117728788077909541e-01
4.288813171395544077e-01,1.759996708157754719e-01,3.951190120446702037e-01
4.588560512774420008e-01,1.365148937714976141e-01,4.046290549510604406e-01
4.649469695581244233e-01,1.512812140309789388e-01,3.837718164108966934e-01
4.786673903427845489e-01,1.256809539906793838e-01,3.956516556665362061e-01
4.940214972643356961e-01,1.359101009221692358e-01,3.700684018134950959e-01
5.276508587756020274e-01,1.205356357858799604e-01,3.518135054385180815e-01
5.317999452276348515e-01,1.330735316955244940e-01,3.351265230768407100e-01
5.669322022421127150e-01,1.138235922667412553e-01,3.192442054911460714e-01
5.703734214439285521e-01,1.040436315300353881e-01,3.255829470260360181e-01
5.775408505668434556e-01,1.075460933122284746e-01,3.149130561209280699e-01
5.705775830818760053e-01,1.206113863347927778e-01,3.088110305833312030e-01
5.627921824005898133e-01,1.376671807087623545e-01,2.995406368906478045e-01
5.658599424601956640e-01,1.488882970210224921e-01,2.852517605187818162e-01
5.804642402372638399e-01,1.314955719590175376e-01,2.880401878037185393e-01
5.985808888648270765e-01,1.123205456246737233e-01,2.890985655104991170e-01
6.052620335028127130e-01,1.202508761126380443e-01,2.744870903845491594e-01
5.958225302661135370e-01,1.297819749689586022e-01,2.743954947649277498e-01
6.260420305468772373e-01,1.110568934718724476e-01,2.629010759812502318e-01
6.509252431870992117e-01,9.993318498452265219e-02,2.491415718283780945e-01
6.440357240414436024e-01,1.150233189194165700e-01,2.409409570391398692e-01
6.502336879092149857e-01,9.207318876818329501e-02,2.576931233226016915e-01
6.384915221933892271e-01,1.050427937747255847e-01,2.564656840318851883e-01
6.347405320488408442e-01,1.255905702646550604e-01,2.396688976865040677e-01
6.291695148488294365e-01,1.288534725137883419e-01,2.419770126373822217e-01
6.177302248276246299e-01,1.540911096123677715e-01,2.281786655600076263e-01
6.616504828666481819e-01,1.099369928737760210e-01,2.284125242595757832e-01
7.036032707907809991e-01,7.621165860387107971e-02,2.201850706053477547e-01
7.168312252690401953e-01,7.500935366963239204e-02,2.081594210613275098e-01
7.198111198239688369e-01,8.386871733358627901e-02,1.963201628424448564e-01
7.383230086536304304e-01,7.873260955801882066e-02,1.829443817883508738e-01
7.502312936281243516e-01,7.863198974897331328e-02,1.711367166229023351e-01
7.589794962676785772e-01,7.819831521433266708e-02,1.628221885179887973e-01
7.567886442197504504e-01,8.969532412759238793e-02,1.535160316526572033e-01
7.409089832728597003e-01,1.147828552005428770e-01,1.443081615265974782e-01
7.411349557718034387e-01,1.229492766918246910e-01,1.359157675363719675e-01
7.579173625133981407e-01,1.106404870012638875e-01,1.314421504853380274e-01
7.650813367641123852e-01,1.062676213835135886e-01,1.286510418523741095e-01
7.566584511354512710e-01,1.222327180880570796e-01,1.211088307764917327e-01
7.860051077678980036e-01,9.292428085305251551e-02,1.210706113790495780e-01
7.798983142440192307e-01,1.051683053075413432e-01,1.149333804484394261e-01
8.151061084892474717e-01,7.428129118745677162e-02,1.106126003232959232e-01
8.406285047941163269e-01,5.366670071100318462e-02,1.057047944948805995e-01
8.256790334216914662e-01,7.492416850320707256e-02,9.939679807510158616e-02
8.433545577157057771e-01,6.270270418715251370e-02,9.394273809714177859e-02
8.330808005780785397e-01,7.773490354964526783e-02,8.918429587227633126e-02
8.366968078206831194e-01,7.935838363876568380e-02,8.394480854055133556e-02
8.301469544563367942e-01,9.021861629833702323e-02,7.963442924532629363e-02
8.318293661310656173e-01,9.064519717167977830e-02,7.752543669725475706e-02
8.126204339087101935e-01,1.116166381773413124e-01,7.576292791394861892e-02
7.862034413162199975e-01,1.402159098134619364e-01,7.358064887031809387e-02
7.897502062519721200e-01,1.367580422503503756e-01,7.349175149767761539e-02
7.767474267963898615e-01,1.476306389417140208e-01,7.562193426189618706e-02
8.351218104665023567e-01,8.355639153397513563e-02,8.132179799952243826e-02
8.348176207723340125e-01,8.716492341045962988e-02,7.801745581720639922e-02
8.231456460009749510e-01,1.031250828303222622e-01,7.372927116870280073e-02
8.552279928145420929e-01,7.220786951511218299e-02,7.256413767034571027e-02
8.791228816006823044e-01,5.154104206187724857e-02,6.933607633744047483e-02
8.422840596890079912e-01,9.267529107003463773e-02,6.504064924095744049e-02
8.256160460812228541e-01,1.122520062521037004e-01,6.213194766667363284e-02
7.993070230649709229e-01,1.404468106973755515e-01,6.024616623765353951e-02
7.754791106246204935e-01,1.599892366208691963e-01,6.453165275451042127e-02
7.911074943204962073e-01,1.431378311340937848e-01,6.575467454541009116e-02
