L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
1.377217605676100298e+01,6.715376690487789801e+01,1.907405703836109367e+01
1.978449793566323578e+01,5.065695076117220452e+01,2.955855130316455259e+01
2.751779442076136206e+01,2.801837216344854298e+01,4.446383341579009851e+01
2.910893697528067037e+01,2.382476606634118355e+01,4.706629695837813898e+01
3.062770964286982789e+01,2.151729414799067186e+01,4.785499620913950025e+01
3.304615178042983104e+01,2.045735998911323250e+01,4.649648823045694002e+01
3.344771509824912670e+01,2.275883224961301110e+01,4.379345265213785865e+01
3.466096185621132264e+01,2.362138382703784956e+01,4.171765431675082425e+01
3.586050453711219888e+01,2.212235828149507810e+01,4.201713718139273368e+01
3.593428294512092691e+01,2.054043249340806554e+01,4.352528456147101110e+01
3.822905431909645557e+01,1.580189339496000578e+01,4.596905228594354753e+01
3.817934269633821032e+01,1.905153661071847182e+01,4.276912069294332497e+01
3.942239349770277101e+01,1.932889771077543628e+01,4.124870879152179981e+01
4.030055776476799423e+01,1.919375727951057442e+01,4.050568495572143490e+01
4.022905687945665676e+01,2.086696361384349530e+01,3.890397950669984795e+01
4.107622693500593414e+01,2.063208944416036061e+01,3.829168362083371591e+01
4.123379568185531951e+01,2.081941418456267812e+01,3.794679013358200592e+01
4.131015672259160709e+01,1.968566005220641912e+01,3.900418322520197734e+01
4.417082399400101167e+01,1.865306964766092079e+01,3.717610635833806754e+01
4.573715505697987282e+01,1.847142297421995139e+01,3.579142196880017934e+01
4.487420050832193397e+01,2.044806530041361015e+01,3.467773419126444168e+01
4.579498267131794620e+01,1.873262670712536249e+01,3.547239062155667710e+01
4.561421136093932205e+01,1.886282243522637359e+01,3.552296620383429371e+01
4.635877990350650180e+01,1.846797599159315340e+01,3.517324410490034126e+01
4.856473290374509588e+01,1.546829006180151644e+01,3.596697703445337879e+01
5.017494738275522081e+01,1.451291922608891127e+01,3.531213339115586081e+01
4.912006419561168968e+01,1.682471215758801719e+01,3.405522364680027891e+01
5.107833244417388840e+01,1.452647003028532247e+01,3.439519752554078025e+01
5.202963998438413995e+01,1.596620000589141419e+01,3.200416000972443697e+01
5.253161051496852707e+01,1.600187940991380842e+01,3.146651007511764320e+01
