L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
1.297950694660853266e+01,7.019250510094629192e+01,1.682798795244516654e+01
1.874662405763753625e+01,5.570092363594611129e+01,2.555245230641635246e+01
2.233938176816221244e+01,4.770530997056139455e+01,2.995530826127638946e+01
2.848515004622751690e+01,3.788893443370668734e+01,3.362591552006578866e+01
3.255782526479553241e+01,3.290491662592219058e+01,3.453725810928227702e+01
3.520771621234415960e+01,2.467834007646006356e+01,4.011394371119578039e+01
3.698598025666624523e+01,2.277648055223039236e+01,4.023753919110337307e+01
3.833554951796233468e+01,2.010439859561463649e+01,4.156005188642303239e+01
3.872525753912990609e+01,2.167581207923073450e+01,3.959893038163937007e+01
4.056548753173012045e+01,2.072626033913536858e+01,3.870825212913452873e+01
4.332732526568994302e+01,1.991836204823340140e+01,3.675431268607667334e+01
4.432373671345954591e+01,2.026038536336023199e+01,3.541587792318023986e+01
4.482342745161786723e+01,2.065909331393472925e+01,3.451747923444742838e+01
4.790018202810004055e+01,1.850370208674440775e+01,3.359611588515556235e+01
4.961283961362099149e+01,1.815959011133153922e+01,3.222757027504747640e+01
5.035200522689786595e+01,1.692682003650099531e+01,3.272117473660114939e+01
5.038818499125486738e+01,1.591613275222568724e+01,3.369568225651945426e+01
5.181911123564157862e+01,1.529382847809632118e+01,3.288706028626211975e+01
5.223459409591699654e+01,1.476861698660163746e+01,3.299678891748137488e+01
5.071288432680628233e+01,1.798425603489188163e+01,3.130285963830185025e+01
5.048007248915832434e+01,1.787121781639195106e+01,3.164870969444973525e+01
5.142968318366626335e+01,1.803640294843576086e+01,3.053391386789799355e+01
5.165485731294598537e+01,1.998517698188783598e+01,2.835996570516619997e+01
5.214573769669950565e+01,1.796983052105202106e+01,2.988443178224849817e+01
5.492999481692812225e+01,1.418918630824689409e+01,3.088081887482500676e+01
5.431062490806732512e+01,1.594997021061257136e+01,2.973940488132011595e+01
5.479242187548602061e+01,1.577409149054364512e+01,2.943348663397034670e+01
5.488926023405762322e+01,1.564457762990715217e+01,2.946616213603523704e+01
5.400463539165512117e+01,1.713877670317905810e+01,2.885658790516583494e+01
5.393530558571352884e+01,1.727321064746620749e+01,2.879148376682028854e+01
