L,C,R
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.441448154097203227e-01,7.117103691805592991e-01,1.441448154097203227e-01
2.830766305739456090e-01,4.107729333143063655e-01,3.061504361117478590e-01
3.651052413019452714e-01,2.636926407760621371e-01,3.712021179219924250e-01
4.439567447498516950e-01,1.740342736361567000e-01,3.820089816139914385e-01
4.920420638598623775e-01,1.099493245785093665e-01,3.980086115616280895e-01
4.986815135999527193e-01,1.188824167547636868e-01,3.824360696452833719e-01
5.092571138133337172e-01,1.206315479109378447e-01,3.701113382757282855e-01
4.939050154367196632e-01,1.460446356678858360e-01,3.600503488953943343e-01
5.033886096446574809e-01,1.360061945025895780e-01,3.606051958527527468e-01
5.174981196335531886e-01,1.444398410701203672e-01,3.380620392963262777e-01
5.199482049558846741e-01,1.381178284788110167e-01,3.419339665653041704e-01
5.267436867288980418e-01,1.503326219609725511e-01,3.229236913101292683e-01
5.597238627838562186e-01,1.304315005844605135e-01,3.098446366316831568e-01
5.903974218254856021e-01,1.154835902006609294e-01,2.941189879738533852e-01
5.774101864383024418e-01,1.370456913866863746e-01,2.855441221750111280e-01
5.964343230716958599e-01,1.259424247788607509e-01,2.776232521494433891e-01
6.130668711582327735e-01,1.229469280945477000e-01,2.639862007472195682e-01
6.272236515073583707e-01,1.127533682504956170e-01,2.600229802421460956e-01
6.380497029727417724e-01,1.036327326541009453e-01,2.583175643731573379e-01
6.256090210058500301e-01,1.235055970383827362e-01,2.508853819557672615e-01
6.374228056676232157e-01,1.132451931884164847e-01,2.493320011439602857e-01
6.304239451801363359e-01,1.359800066111755690e-01,2.335960482086881507e-01
6.492732285215141452e-01,1.197715225008198908e-01,2.309552489776658668e-01
6.981083995822551236e-01,8.349523648731407843e-02,2.183963639304308535e-01
7.124641345417572769e-01,8.286913457806602268e-02,2.046667308801768115e-01
7.238192895551703865e-01,7.572874523617290077e-02,2.004519652086567683e-01
7.253841580468456396e-01,8.617286811445989958e-02,1.884429738386945163e-01
7.228242665425260727e-01,9.969338296328407456e-02,1.774823504941899222e-01
7.543548394074335306e-01,7.717897526967515409e-02,1.684661853228914263e-01
7.575897026546292157e-01,8.374431406952075052e-02,1.586659832758501587e-01
7.561569617424206413e-01,9.501909935458935363e-02,1.488239389029901161e-01
7.541124224585510349e-01,1.051371511584780760e-01,1.407504263829709445e-01
7.739609574225935207e-01,9.034743654174968996e-02,1.356916060356568310e-01
7.943624946040802604e-01,7.535987936489127459e-02,1.302776260310285483e-01
7.817490172582657326e-01,9.337704946574854059e-02,1.248739332759857962e-01
7.556633089029315409e-01,1.249875234344995922e-01,1.193491676625689363e-01
7.758944185832069573e-01,1.042098252432467065e-01,1.198957561735464611e-01
8.004639201750256561e-01,7.979250675781723867e-02,1.197435730671571885e-01
8.116787789084013438e-01,7.052366286485048374e-02,1.177975582267482280e-01
8.034071136420226633e-01,8.618047631842383483e-02,1.104124100395535990e-01
8.036590025846416241e-01,8.878798681863767084e-02,1.075530105967207883e-01
