L,C,R
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
5.141185368393524913e-01,-2.823707367870498253e-02,5.141185368393524913e-01
4.872063492016504571e-01,5.482026787363859788e-02,4.579733829247109589e-01
4.756657054660567985e-01,9.937268862921989909e-02,4.249616059047233718e-01
4.738295564513576585e-01,1.225476328091051892e-01,4.036228107395372633e-01
4.841500395255168843e-01,1.354209596239761282e-01,3.804290008505070153e-01
4.840917926291499196e-01,1.308887452912929628e-01,3.850194620795571732e-01
4.992813819737271785e-01,1.301323224155199743e-01,3.705862956107529027e-01
5.096820313449009765e-01,1.257516041375891236e-01,3.645663645175099554e-01
5.129120205494973606e-01,1.368471734282660224e-01,3.502408060222366171e-01
5.344436987667060546e-01,1.321121091710653062e-01,3.334441920622286393e-01
5.316766447311295218e-01,1.399893233188936326e-01,3.283340319499768456e-01
5.308144418952910337e-01,1.499093237684511748e-01,3.192762343362578470e-01
5.390874119928751318e-01,1.443195053326196964e-01,3.165930826745051996e-01
5.403910956855217940e-01,1.293388564928214524e-01,3.302700478216567537e-01
5.599748177006015348e-01,1.237066166354814506e-01,3.163185656639170840e-01
5.779399086651162420e-01,1.091633689663491502e-01,3.128967223685346633e-01
5.813080235427348086e-01,1.214723546244731583e-01,2.972196218327921580e-01
5.694514886671990794e-01,1.500808061358679391e-01,2.804677051969331480e-01
6.361806870765995825e-01,8.308075839375313187e-02,2.807385545296474105e-01
6.363039212382576304e-01,9.680991416384784887e-02,2.668861645978946595e-01
6.334080745620115360e-01,1.146173165436341485e-01,2.519746088943544127e-01
6.388290258147101275e-01,1.197014613466811928e-01,2.414695128386088185e-01
6.420290367535548270e-01,1.264497181206514775e-01,2.315212451257938620e-01
6.348717701773699540e-01,1.325795266881525380e-01,2.325487031344776745e-01
6.501309325510262749e-01,1.314577420844639799e-01,2.184113253645098007e-01
6.600766138195323096e-01,1.171926105711784405e-01,2.227307756092895275e-01
