L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
1.090710179955395631e+01,7.656026684841734209e+01,1.253263135202870338e+01
1.642538506648719121e+01,6.584155566311019925e+01,1.773305927040261665e+01
2.919713947244092722e+01,4.079988728826243971e+01,3.000297323929663307e+01
3.767297111162383061e+01,2.812682130021035221e+01,3.420020758816581719e+01
3.900970360681056093e+01,2.698597098560130192e+01,3.400432540758814071e+01
4.185869433625412483e+01,2.337636237690575669e+01,3.476494328684012913e+01
4.416345162854386075e+01,2.010131087428598207e+01,3.573523749717016784e+01
4.723350352646638584e+01,1.936148893442071284e+01,3.340500753911290843e+01
4.654444427454004796e+01,1.617919065106681487e+01,3.727636507439314784e+01
4.953371062849879536e+01,1.647501260350528085e+01,3.399127676799593445e+01
5.184158160349327460e+01,1.261143461835999879e+01,3.554698377814673194e+01
5.036216564081171754e+01,1.543128152732600000e+01,3.420655283186228957e+01
5.137649341752752008e+01,1.523920746707355711e+01,3.338429911539892458e+01
5.075392894933155929e+01,1.680045775920341455e+01,3.244561329146502970e+01
5.179970262700766881e+01,1.705678813459319443e+01,3.114350923839913676e+01
5.373803070050064434e+01,1.588044520598279519e+01,3.038152409351657468e+01
5.374229366742829228e+01,1.567902607873685916e+01,3.057868025383486454e+01
5.314971770283085561e+01,1.882039036692529521e+01,2.802989193024386338e+01
5.257658052129877291e+01,2.000365117838713402e+01,2.741976830031410728e+01
5.198172616278878877e+01,1.841440678738928227e+01,2.960386704982194317e+01
5.240500974852673721e+01,1.489111765392718212e+01,3.270387259754609488e+01
5.481297264149056758e+01,1.251377841567995652e+01,3.267324894282949543e+01
5.565901502508288701e+01,1.075100280414828013e+01,3.358998217076884885e+01
5.688361427477476440e+01,1.189181316426231483e+01,3.122457256096294032e+01
5.685057944963394760e+01,1.480721390847053698e+01,2.834220664189553318e+01
5.576017802856170391e+01,1.766587583265631167e+01,2.657394613878199507e+01
5.614354132600803382e+01,1.801457641943312993e+01,2.584188225455885046e+01
5.703986403090744517e+01,1.832738833399575995e+01,2.463274763509680909e+01
5.650885093815140436e+01,1.866251511814643393e+01,2.482863394370217591e+01
5.638426847863518532e+01,1.976541028244436049e+01,2.385032123892047551e+01
