L,C,R
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.108836185914128025e-01,5.782327628171743950e-01,2.108836185914128025e-01
3.062657326266018387e-01,3.917221213966577409e-01,3.020121459767404204e-01
3.851424771578638162e-01,2.357397515112673592e-01,3.791177713308687691e-01
4.160804278638274845e-01,1.963752633985275109e-01,3.875443087376450046e-01
4.538741094475433058e-01,1.480335655051696619e-01,3.980923250472870323e-01
4.732909243066507621e-01,1.385720807713469449e-01,3.881369949220022653e-01
5.182732346890136510e-01,1.062033267238916834e-01,3.755234385870946934e-01
5.219374097202671425e-01,1.177228360544106539e-01,3.603397542253222174e-01
5.208545542701784603e-01,1.204089276023996291e-01,3.587365181274219106e-01
5.177352118171344442e-01,1.375826896511588848e-01,3.446820985317067265e-01
5.167097619011031817e-01,1.599245983815255068e-01,3.233656397173712560e-01
5.279395742644528156e-01,1.537200261379667310e-01,3.183403995975803702e-01
5.502445733682187479e-01,1.342498903556872958e-01,3.155055362760938453e-01
5.792465933476373952e-01,1.060195211303617546e-01,3.147338855220007114e-01
5.658807672239690723e-01,1.426292975395897500e-01,2.914899352364410667e-01
5.803599970861995638e-01,1.401408679624492337e-01,2.794991349513510359e-01
5.925877690941911968e-01,1.454839671456450989e-01,2.619282637601634822e-01
5.962204516928324427e-01,1.426816440221959914e-01,2.610979042849713161e-01
6.078326273897933785e-01,1.332307409952946664e-01,2.589366316149117608e-01
6.024672329727209785e-01,1.558461404886486990e-01,2.416866265386300450e-01
6.334227532663223581e-01,1.244096356973064810e-01,2.421676110363709111e-01
6.420802198283898088e-01,1.159151918560251127e-01,2.420045883155847455e-01
6.467479971280384321e-01,1.145707854033237300e-01,2.386812174686375743e-01
6.488283802975093328e-01,1.143500730889845385e-01,2.368215466135060177e-01
6.668731536951885142e-01,1.092742319235137649e-01,2.238526143812974989e-01
6.898256911654653267e-01,9.478313178648166415e-02,2.153911770480528287e-01
6.939824210938349003e-01,1.012199962768624839e-01,2.047975826293023938e-01
6.829507146092487213e-01,1.200910115016347035e-01,1.969582738891163809e-01
6.888724287709121485e-01,1.171160932615629424e-01,1.940114779675247425e-01
6.781263559834759258e-01,1.310717249794404737e-01,1.908019190370833507e-01
6.707800060407365095e-01,1.493136485335090913e-01,1.799063454257543160e-01
6.889587342100838008e-01,1.189006456628413505e-01,1.921406201270747516e-01
6.738707053865934382e-01,1.370233819652494356e-01,1.891059126481570429e-01
6.789021356887933178e-01,1.408312948398576792e-01,1.802665694713489475e-01
6.945855141126828780e-01,1.152481269206166725e-01,1.901663589667003385e-01
7.037368872192308888e-01,1.065098256094440532e-01,1.897532871713249469e-01
7.154011771476763704e-01,1.018503596127287858e-01,1.827484632395947051e-01
7.112055512093662379e-01,1.087440137835095355e-01,1.800504350071240600e-01
7.312974944787907772e-01,9.049495548198835393e-02,1.782075500392207024e-01
7.091481464237530119e-01,1.167148219276894355e-01,1.741370316485574277e-01
7.242797912239818947e-01,1.114082401324843069e-01,1.643119686435337845e-01
7.436628222330381455e-01,1.046975540593749199e-01,1.516396237075868236e-01
7.485526693296334910e-01,1.031853554033575343e-01,1.482619752670088220e-01
7.312306175972654865e-01,1.264844710493617241e-01,1.422849113533725118e-01
7.558072337838549482e-01,1.043534668901236750e-01,1.398392993260212380e-01
7.484925502788152274e-01,1.121214574030103134e-01,1.393859923181743621e-01
7.457587408024867193e-01,1.201397365696428160e-01,1.341015226278704786e-01
7.492092569222614795e-01,1.238416550086516715e-01,1.269490880690867796e-01
7.396771306917877542e-01,1.346200516925384338e-01,1.257028176156738952e-01
7.451509807074074843e-01,1.330252270983659224e-01,1.218237921942265656e-01
7.496983971335082764e-01,1.310544997718071647e-01,1.192471030946846561e-01
7.646073883657258374e-01,1.095864056949692467e-01,1.258062059393047494e-01
7.645620087548842259e-01,1.144007835341957074e-01,1.210372077109199973e-01
7.554463123595973606e-01,1.227070090869166186e-01,1.218466785534859653e-01
7.627394505497371302e-01,1.134071317457996247e-01,1.238534177044631479e-01
7.746560138395505168e-01,1.052377977297711403e-01,1.201061884306783706e-01
7.596487333143536747e-01,1.230187101197420252e-01,1.173325565659042030e-01
7.339788169288169462e-01,1.539616825137202216e-01,1.120595005574627490e-01
7.298818744171510220e-01,1.589473941926960454e-01,1.111707313901528216e-01
7.672112538132054294e-01,1.267562300349318882e-01,1.060325161518624881e-01
7.745226616623184235e-01,1.221476777116166507e-01,1.033296606260648426e-01
7.526142935708922677e-01,1.443265967246686876e-01,1.030591097044390031e-01
7.443992718097014460e-01,1.571405039222867894e-01,9.846022426801169514e-02
8.201138851431707399e-01,8.411218661090576199e-02,9.577392824592340093e-02
8.069363697703687555e-01,1.018237536508710822e-01,9.123987657876013457e-02
7.785077093516786784e-01,1.324433890014732329e-01,8.904890164684794995e-02
7.523613020824357900e-01,1.619841928097267292e-01,8.565450510783749472e-02
7.390916458683501888e-01,1.790347712908725575e-01,8.187358284077726756e-02
7.339830427756741660e-01,1.786819668108871051e-01,8.733499041343872893e-02
7.420355640418588861e-01,1.667971087422713827e-01,9.116732721586975896e-02
7.422733304527615594e-01,1.638860779619049635e-01,9.384059158533349099e-02
7.108826323861265895e-01,1.968755852942184470e-01,9.224178231965499131e-02
