L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
1.034838559084331244e+01,7.930322881831338577e+01,1.034838559084331244e+01
1.339174609125788429e+01,7.409923239805162609e+01,1.250902151069050205e+01
2.611837743373990506e+01,4.990232157444830108e+01,2.397930099181180097e+01
3.517454580377377482e+01,3.830390348507258835e+01,2.652155071115364748e+01
3.776865442014425156e+01,3.283822610480999771e+01,2.939311947504576494e+01
4.264294378212515824e+01,2.934365149178297472e+01,2.801340472609187415e+01
4.575638328562456536e+01,2.492665819443508113e+01,2.931695851994034641e+01
4.765216096459545980e+01,2.262160798414888419e+01,2.972623105125565246e+01
4.794588757378681265e+01,2.238180926083221678e+01,2.967230316538097057e+01
5.074544575088913945e+01,2.114539240037564483e+01,2.810916184873520862e+01
5.272718724391574341e+01,2.118684686975241149e+01,2.608596588633184510e+01
5.456673958349643527e+01,2.006226282565633312e+01,2.537099759084722450e+01
5.598671758813921429e+01,1.930662862390786216e+01,2.470665378795291645e+01
5.517047619491624033e+01,2.171790233835051609e+01,2.311162146673324003e+01
5.531579868587264315e+01,2.156594997526903157e+01,2.311825133885832884e+01
5.573964202382833122e+01,2.204185310403302722e+01,2.221850487213864156e+01
5.744927993700351720e+01,2.093025521471508554e+01,2.162046484828140436e+01
5.925617815329889737e+01,2.040796870035999788e+01,2.033585314634110119e+01
6.181703248116824057e+01,1.804202443076771800e+01,2.014094308806404499e+01
6.415053480441133615e+01,1.597289200545061938e+01,1.987657319013804624e+01
6.523591832477823971e+01,1.555085079464759978e+01,1.921323088057416939e+01
6.419981664411240274e+01,1.759620450190068297e+01,1.820397885398691429e+01
6.275620386064059630e+01,2.033545949814672227e+01,1.690833664121267788e+01
6.748559676707094468e+01,1.612175606308714393e+01,1.639264716984189718e+01
6.669271676229216439e+01,1.791285004009943194e+01,1.539443319760839479e+01
6.755059570789430268e+01,1.762340954899522316e+01,1.482599474311046350e+01
6.891138086908183880e+01,1.672984226796915053e+01,1.435877686294898758e+01
6.921732714477599302e+01,1.686154123832622176e+01,1.392113161689777456e+01
6.799523507090084706e+01,1.904671316443393536e+01,1.295805176466520692e+01
7.283519938208054612e+01,1.364282870029898298e+01,1.352197191762046025e+01
