L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
1.349487823406310838e+01,6.842400515990219390e+01,1.808111660603470483e+01
1.897503989335864105e+01,5.670902062796901788e+01,2.431593947867234462e+01
2.459416476223381665e+01,4.343266144343706259e+01,3.197317379432913853e+01
2.656409356264666144e+01,3.603733869661739675e+01,3.739856774073594892e+01
2.789202934509286180e+01,3.104195651752720764e+01,4.106601413737994477e+01
2.913129773132050104e+01,2.635134474683791339e+01,4.451735752184159622e+01
2.976058204218766434e+01,2.090696345537102729e+01,4.933245450244131547e+01
2.961856112070941549e+01,2.298744820815706547e+01,4.739399067113352970e+01
3.215623888628084615e+01,1.948530789112647810e+01,4.835845322259267931e+01
3.249219006999613413e+01,2.032340612087664056e+01,4.718440380912722532e+01
3.270752436498583648e+01,1.865777367471889292e+01,4.863470196029526704e+01
3.326026757384028798e+01,2.094187434322628860e+01,4.579785808293342342e+01
3.340383017889867290e+01,1.850900744169556233e+01,4.808716237940575411e+01
3.379992898017218295e+01,2.034621726907407790e+01,4.585385375075373560e+01
3.523992722012393131e+01,1.589861325976687567e+01,4.886145952010918592e+01
3.694916335033915544e+01,1.645099878508814228e+01,4.659983786457269872e+01
3.718633577747836227e+01,1.931563898092541010e+01,4.349802524159622408e+01
3.918193715451079839e+01,1.949622063701048447e+01,4.132184220847871359e+01
3.965587586412504351e+01,1.851297885360892437e+01,4.183114528226603568e+01
3.883204235653181513e+01,1.916191483459149580e+01,4.200604280887669262e+01
4.001907697121358609e+01,2.029413456459648657e+01,3.968678846418993800e+01
4.128461124459604292e+01,1.884830499246498903e+01,3.986708376293896805e+01
4.248242795421797524e+01,1.845052722712106075e+01,3.906704481866097467e+01
4.292332956257083509e+01,1.963301701151921819e+01,3.744365342590996448e+01
4.343876921163005278e+01,2.096126981950206414e+01,3.559996096886789019e+01
4.399285302807400200e+01,2.303985296867773158e+01,3.296729400324827708e+01
4.589192130574689799e+01,2.234952630705297238e+01,3.175855238720014029e+01
4.954374549261668648e+01,1.909179802364011636e+01,3.136445648374320783e+01
5.063165392664885189e+01,1.795594126395942780e+01,3.141240480939173096e+01
5.052580299493985905e+01,1.914164498255626867e+01,3.033255202250387228e+01
