L,C,R
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
3.190597810654074440e-01,3.618804378691851120e-01,3.190597810654074440e-01
3.947763866651159415e-01,2.117202830161757365e-01,3.935033303187083220e-01
4.239878265522026846e-01,1.643638687164559464e-01,4.116483047313413968e-01
4.651615834364642432e-01,1.175831787391951738e-01,4.172552378243405968e-01
4.863513275784747680e-01,8.317390315066713891e-02,4.304747692708581486e-01
4.789946016949004348e-01,1.157222735099855265e-01,4.052831247951141913e-01
4.915544231975459422e-01,1.121814324336989910e-01,3.962641443687552334e-01
4.829606238935479912e-01,1.445693289813677618e-01,3.724700471250843026e-01
5.027407532570354887e-01,1.107902357462437759e-01,3.864690109967207632e-01
4.988695050671563269e-01,1.371890538658031289e-01,3.639414410670405164e-01
5.002551864676579862e-01,1.467583102028186814e-01,3.529865033295234156e-01
4.914315616411337184e-01,1.757863514005944816e-01,3.327820869582718832e-01
4.851446607505900954e-01,1.542432123251991360e-01,3.606121269242107963e-01
4.922323518191463743e-01,1.364551065235315996e-01,3.713125416573220816e-01
5.005147854050951972e-01,1.300920611808024652e-01,3.693931534141023376e-01
5.173828932497678279e-01,1.139396293301806612e-01,3.686774774200515248e-01
5.261984210128020090e-01,1.282506464038950245e-01,3.455509325833030498e-01
5.642570349100020088e-01,1.082163979285859223e-01,3.275265671614120966e-01
5.663780045564302812e-01,1.229792306703873239e-01,3.106427647731824226e-01
5.832193387300393939e-01,1.228878555439126274e-01,2.938928057260480342e-01
6.024498879052898603e-01,1.109803185164656147e-01,2.865697935782445249e-01
5.932561546085618476e-01,1.207788404229387658e-01,2.859650049684994144e-01
6.141814696438638865e-01,1.106225950017553639e-01,2.751959353543808051e-01
6.169361351076991795e-01,1.151609810726651473e-01,2.679028838196357287e-01
6.345442044256264236e-01,1.064626843241867765e-01,2.589931112501868693e-01
6.296539920555446201e-01,1.249621267725403717e-01,2.453838811719150637e-01
6.708341306133493998e-01,8.471228032503282102e-02,2.444535890616178209e-01
6.608182755433757993e-01,1.090246860450477528e-01,2.301570384115764478e-01
6.659628903836114500e-01,1.161238078907056992e-01,2.179133017256828231e-01
6.974735579378635864e-01,9.461618911084322681e-02,2.079102529512932285e-01
6.986238480270727802e-01,1.009470776709056605e-01,2.004290743020216425e-01
7.000953666481314341e-01,1.094644734619008714e-01,1.904401598899677361e-01
6.951219323607950029e-01,1.249026688886523268e-01,1.799753987505526842e-01
7.133718366392146626e-01,1.091007533651400518e-01,1.775274099956452301e-01
7.153331132818682159e-01,1.140359091679399445e-01,1.706309775501916315e-01
7.234416805198634615e-01,1.140870805887470446e-01,1.624712388913893690e-01
7.214822416208067635e-01,1.166994283016318107e-01,1.618183300775612177e-01
7.342102984381749797e-01,1.115023103257409970e-01,1.542873912360838984e-01
7.278700640935017452e-01,1.074706710112487973e-01,1.646592648952494575e-01
7.347669725531702500e-01,1.116533901356144692e-01,1.535796373112152113e-01
7.384233271763804840e-01,1.178299554139392857e-01,1.437467174096803135e-01
7.420676902060288072e-01,1.212656475319601745e-01,1.366666622620109628e-01
7.627226659440675682e-01,1.024411102351296121e-01,1.348362238208027919e-01
