L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
7.313530682430735119e+00,8.142906740454431258e+01,1.125740191302494075e+01
2.510139337837142293e+01,4.707130764859507366e+01,2.782729897303350342e+01
3.476648761580202063e+01,2.738081497356328597e+01,3.785269741063468985e+01
3.604681131413213535e+01,2.077624505830146617e+01,4.317694362756639492e+01
3.957139154514574386e+01,1.847373814859696139e+01,4.195487030625729119e+01
4.194203887144819731e+01,1.507294647261502085e+01,4.298501465593678716e+01
4.235771626809689394e+01,1.642040535735929296e+01,4.122187837454380599e+01
4.278560170504545823e+01,1.344761548036319176e+01,4.376678281459134467e+01
4.308484055945274349e+01,1.537721543716337713e+01,4.153794400338387049e+01
4.324520268578834248e+01,1.675874153666127953e+01,3.999605577755036023e+01
4.296762280653720012e+01,1.677408690320026707e+01,4.025829029026251504e+01
4.277251165972341340e+01,1.966668681922094208e+01,3.756080152105562320e+01
4.700795455259166289e+01,1.761061763943975578e+01,3.538142780796855646e+01
5.125451671454208480e+01,1.471040737990285407e+01,3.403507590555503981e+01
5.400243098873854564e+01,1.396829748411789573e+01,3.202927152714354264e+01
5.352029628909831871e+01,1.588924327314028595e+01,3.059046043776138291e+01
5.610119339730679400e+01,1.493648104378073249e+01,2.896232555891244331e+01
5.521202558182839226e+01,1.579958629903943823e+01,2.898838811913214286e+01
5.743477106856082059e+01,1.408627763835437285e+01,2.847895129308477991e+01
5.725043171579583401e+01,1.611700930079354421e+01,2.663255898341059336e+01
5.736412067282281413e+01,1.622603745503071693e+01,2.640984187214644408e+01
5.769501695512257555e+01,1.626343914254818301e+01,2.604154390232922012e+01
5.863917306023304121e+01,1.621304882874758491e+01,2.514777811101935256e+01
5.989391981730403813e+01,1.515216509462752903e+01,2.495391508806839909e+01
5.995751920488674358e+01,1.607514455668663444e+01,2.396733623842659355e+01
5.985038373738409945e+01,1.704656943162928329e+01,2.310304683098658884e+01
5.866105926625922251e+01,2.030015856441566058e+01,2.103878216932509204e+01
5.993448176518794668e+01,1.984596203768626665e+01,2.021955619712575114e+01
5.870606150375539301e+01,2.013387052008520328e+01,2.116006797615937174e+01
5.951562936722810804e+01,1.908126705625378960e+01,2.140310357651806683e+01
