L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
7.697488934794929349e+00,8.460502213041013420e+01,7.697488934794929349e+00
2.154091300621993454e+01,5.943057368659308537e+01,1.902851330718698009e+01
2.995718125519452357e+01,4.224641733305197278e+01,2.779640141175350365e+01
3.844617237776380847e+01,2.922681888039168641e+01,3.232700874184450157e+01
3.934249366155871286e+01,2.869276928709340169e+01,3.196473705134788190e+01
4.566659295082729386e+01,2.040839732175940568e+01,3.392500972741330401e+01
4.614643907166691150e+01,2.258564507601728266e+01,3.126791585231580584e+01
4.562629208093773769e+01,2.478026621269088992e+01,2.959344170637136884e+01
4.756002651567391837e+01,2.420043466072579008e+01,2.823953882360028089e+01
4.997056452331872833e+01,2.087357288929830190e+01,2.915586258738296976e+01
5.148852570693828312e+01,2.177802586177827848e+01,2.673344843128343129e+01
5.276898872024776210e+01,2.131883740491214141e+01,2.591217387484008938e+01
5.280669465669959806e+01,2.338652172686901665e+01,2.380678361643136398e+01
5.989613841730484722e+01,1.637857438727185411e+01,2.372528719542329156e+01
6.075650819994003626e+01,1.663267854609511076e+01,2.261081325396485298e+01
6.011743554403381040e+01,1.755354117547297932e+01,2.232902328049319962e+01
5.934936425028401885e+01,1.943202543548945371e+01,2.121861031422652033e+01
6.146054799621668963e+01,1.851095324333262937e+01,2.002849876045067035e+01
6.350355285028690133e+01,1.648582681909456582e+01,2.001062033061852219e+01
6.681619769457392977e+01,1.345320482975854048e+01,1.973059747566752620e+01
6.850659686152195604e+01,1.262158750896201553e+01,1.887181562951602842e+01
6.889823426310995558e+01,1.336582246732479540e+01,1.773594326956524014e+01
6.929182197972487245e+01,1.452089255384506394e+01,1.618728546643005828e+01
6.755455688608418541e+01,1.738311640156801019e+01,1.506232671234778486e+01
6.824778094669410677e+01,1.750365664461562787e+01,1.424856240869025470e+01
6.895962755246340237e+01,1.786290604364699064e+01,1.317746640388959101e+01
6.904571641472402632e+01,1.845525788308221493e+01,1.249902570219374809e+01
7.157584798509370216e+01,1.630731142474323647e+01,1.211684059016304360e+01
7.144355667121014619e+01,1.687012502029496730e+01,1.168631830849486697e+01
7.308801026539411794e+01,1.561220122920921938e+01,1.129978850539665025e+01
