L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
7.241162730088194444e+00,8.551767453982360223e+01,7.241162730088194444e+00
2.735701828933134649e+01,4.793887983408984610e+01,2.470410187657880030e+01
3.392953030705852058e+01,3.647522851990403581e+01,2.959524117303744006e+01
3.749886704579525798e+01,3.132894671010716081e+01,3.117218624409757410e+01
4.054528682897763048e+01,2.923316622016179522e+01,3.022154695086056719e+01
4.315866011605879748e+01,2.538672497411274875e+01,3.145461490982845021e+01
4.368264413270517110e+01,2.560511036491309156e+01,3.071224550238172313e+01
4.606018004672154120e+01,2.538464537286289513e+01,2.855517458041555656e+01
4.728044363593529198e+01,2.084842102692943300e+01,3.187113533713525726e+01
4.914487369355077107e+01,1.980309614239627081e+01,3.105203016405295102e+01
4.967977464588336289e+01,2.033792181282677447e+01,2.998230354128984843e+01
5.046715422050170474e+01,2.069863209341221122e+01,2.883421368608606983e+01
5.122015865073407781e+01,1.937145442491416603e+01,2.940838692435174906e+01
5.279119459976474360e+01,1.911555520020130317e+01,2.809325020003394613e+01
5.512415935849796256e+01,1.880082723199273431e+01,2.607501340950929247e+01
5.680612741678538669e+01,1.776128847802419131e+01,2.543258410519041135e+01
5.573229728395326532e+01,1.940611950928099461e+01,2.486158320676573297e+01
5.859509408448718659e+01,1.648003659135600074e+01,2.492486932415679846e+01
5.877227633625575010e+01,1.668927339568144319e+01,2.453845026806278540e+01
5.753214091218178083e+01,1.980713430060991342e+01,2.266072478720828087e+01
6.159660191654816686e+01,1.646736757852490385e+01,2.193603050492690443e+01
6.090711611985285145e+01,1.891306104064030080e+01,2.017982283950682287e+01
6.090892692888576221e+01,1.987959063945366012e+01,1.921148243166055991e+01
5.978741133383021378e+01,2.205001910572578083e+01,1.816256956044398763e+01
6.140559231485696046e+01,1.988975793787254887e+01,1.870464974727046936e+01
6.391919903077991449e+01,1.818877712771796951e+01,1.789202384150209113e+01
6.584791711853360141e+01,1.759708968147426944e+01,1.655499319999210783e+01
6.693837050855380255e+01,1.667232088089150821e+01,1.638930861055467858e+01
7.429309853952908327e+01,1.054758787535544684e+01,1.515931358511544857e+01
7.346945650493363189e+01,1.260817065650411450e+01,1.392237283856224472e+01
