L,C,R
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
4.163911772897481156e-01,1.672176454205037688e-01,4.163911772897481156e-01
4.346107902219744634e-01,1.755463433103961468e-01,3.898428664676293898e-01
4.426061372429767604e-01,1.456804385083143027e-01,4.117134242487089368e-01
4.653066660586840375e-01,1.276175005203367685e-01,4.070758334209791940e-01
4.828125598259515594e-01,1.359554573041810988e-01,3.812319828698672586e-01
5.012766046847756396e-01,1.235442930290255037e-01,3.751791022861987734e-01
5.057109103389946236e-01,1.318427378944810047e-01,3.624463517665242329e-01
5.043770691493560943e-01,1.488432573289731609e-01,3.467796735216706061e-01
5.073118780275718276e-01,1.567594959225455942e-01,3.359286260498823840e-01
5.394602875860464719e-01,1.346331695860487898e-01,3.259065428279045995e-01
5.306186201028727512e-01,1.613885813665213442e-01,3.079927985306057381e-01
5.514427019677501374e-01,1.459332821427493099e-01,3.026240158895003307e-01
6.113662179668708507e-01,9.085424282501763926e-02,2.977795392081113435e-01
6.108155588781518652e-01,9.713004630805428807e-02,2.920543948137937496e-01
6.211673993247937009e-01,9.972015257829112966e-02,2.791124480969151000e-01
6.551063273646957619e-01,7.178106563171349208e-02,2.731126070035907460e-01
6.445721961808821288e-01,9.741642917974738247e-02,2.580113746393703500e-01
6.509195453547156340e-01,1.057055024829791773e-01,2.433749521623051471e-01
6.529203858131082949e-01,1.084650934795876182e-01,2.386145207073040453e-01
6.573957624781562314e-01,1.156760661752818664e-01,2.269281713465619299e-01
6.665434983678314440e-01,1.148642388532180730e-01,2.185922627789504691e-01
6.587603551533218749e-01,1.336278493073789486e-01,2.076117955392991488e-01
6.617006915304144421e-01,1.289286597841634296e-01,2.093706486854220727e-01
6.734549681234457408e-01,1.264530829235950837e-01,2.000919489529590645e-01
6.796682082399637670e-01,1.169516799383648886e-01,2.033801118216714277e-01
6.923593367545628485e-01,1.081121661482154078e-01,1.995284970972218130e-01
7.198640970078625800e-01,8.565091173939907987e-02,1.944849912527385205e-01
7.124129323341612530e-01,1.051903322077353820e-01,1.823967354581033096e-01
7.579905051282296302e-01,6.774818358667135387e-02,1.742613112850990020e-01
7.574690819693390420e-01,8.093726372572666861e-02,1.615936543049342755e-01
7.848098594561931929e-01,6.455808390602742197e-02,1.506320566377793713e-01
7.927791306497290469e-01,6.602455138528215417e-02,1.411963179649887712e-01
7.877056001420715825e-01,7.954539537073941624e-02,1.327490044871888208e-01
7.795614115016046286e-01,9.524600116340491140e-02,1.251925873349903351e-01
7.625615921138421127e-01,1.115162778486246398e-01,1.259221300375330532e-01
7.894686109410877783e-01,8.276507898384360962e-02,1.277663100750683622e-01
7.938004199558024165e-01,8.660715435690617692e-02,1.195924256872912816e-01
7.777340315792578007e-01,1.033308278088815868e-01,1.189351406118603904e-01
7.962447259865477189e-01,8.207397841669833438e-02,1.216812955967538079e-01
8.011115128389802997e-01,8.546384952818182612e-02,1.134246376328376660e-01
8.138530569178378249e-01,7.784917244208157394e-02,1.082977706400804208e-01
8.124153062369882106e-01,8.405725705997485475e-02,1.035274367030367126e-01
8.013590365641108937e-01,9.778223659573366533e-02,1.008587268401552467e-01
8.200729977304109797e-01,7.886341067725843867e-02,1.010635915923304012e-01
8.451301222087149734e-01,5.873824848827901429e-02,9.613162930300572784e-02
8.203617214059637508e-01,9.017595988583879119e-02,8.946231870819727761e-02
8.439301928915681206e-01,6.970692019434279740e-02,8.636288691408891549e-02
8.391706400946212785e-01,7.827531511073042292e-02,8.255404479464825696e-02
8.127651522180766586e-01,1.092139608042761029e-01,7.802088697764697489e-02
8.106243540658815139e-01,1.135818074820284934e-01,7.579383845208981230e-02
8.152261937277018866e-01,1.072606239744634676e-01,7.751318229783434044e-02
8.315164051618778585e-01,9.249910414271851622e-02,7.598449069540340328e-02
8.206417580509249854e-01,1.058796089264671669e-01,7.347863302260747298e-02
8.109658353141125930e-01,1.157598934900205268e-01,7.327427119586679694e-02
8.019980797120134230e-01,1.241541475926251220e-01,7.384777269536135780e-02
8.115615235336453015e-01,1.163252760032870842e-01,7.211320046306737841e-02
8.160033327923330582e-01,1.148313787085318560e-01,6.916528849913491928e-02
8.105415924887495738e-01,1.186208426617759853e-01,7.083756484947427434e-02
7.998680932287871581e-01,1.254333784823158937e-01,7.469852828889680940e-02
8.059845139459007601e-01,1.201790015267788780e-01,7.383648452732034795e-02
7.864927235660408300e-01,1.386932680960689390e-01,7.481400833789003668e-02
7.932307886015709242e-01,1.279969286547188723e-01,7.877228274370998151e-02
7.886519293313578594e-01,1.296206151457867661e-01,8.172745552285513859e-02
7.588569852349510425e-01,1.577750146017520283e-01,8.336800016329655449e-02
8.189188669385353281e-01,9.392597523762508116e-02,8.715515782383934096e-02
7.929825312004968874e-01,1.239226527892844792e-01,8.309481601021830033e-02
7.851540033716339906e-01,1.262061991927256044e-01,8.863979743564005809e-02
7.629927461721802695e-01,1.496535375981498106e-01,8.735371622966942029e-02
8.129297329711069331e-01,9.733031434661350290e-02,8.973995268227921707e-02
7.842844066055353336e-01,1.294905512036273187e-01,8.622504219083705623e-02
7.402098523855697998e-01,1.741209726950647130e-01,8.566917491936523743e-02
6.913225577706750835e-01,2.228661468523935041e-01,8.581129537693112097e-02
7.429633299055314888e-01,1.473613780903135217e-01,1.096752920041546564e-01
7.143746363933872745e-01,1.736034245925878183e-01,1.120219390140245602e-01
7.252142407625825626e-01,1.616492346920544165e-01,1.131365245453626739e-01
6.737906051440554211e-01,2.179206293538754058e-01,1.082887655020688678e-01
7.026867039504971491e-01,1.669573115490238513e-01,1.303559845004787499e-01
7.032454226220824500e-01,1.638474918245499679e-01,1.329070855533672768e-01
6.835547923192247799e-01,1.692962679227911216e-01,1.471489397579837932e-01
6.511436460975397189e-01,1.906298818031862963e-01,1.582264720992737073e-01
6.440112894289096168e-01,1.978992102579476831e-01,1.580895003131424226e-01
6.086433757192482030e-01,2.335670042717290229e-01,1.577896200090224410e-01
6.466690470749647535e-01,1.883496175697778607e-01,1.649813353552571360e-01
6.042439060394600991e-01,2.287922918907131509e-01,1.669638020698264447e-01
5.541676872322358616e-01,2.698130819231424615e-01,1.760192308446213716e-01
5.464533888529061745e-01,2.584660576969088353e-01,1.950805534501846572e-01
5.648217546517225740e-01,2.181303552177225602e-01,2.170478901305545327e-01
5.005167430942422113e-01,2.683236051572095993e-01,2.311596517485478841e-01
4.270611048123476028e-01,3.341833757664854909e-01,2.387555194211666842e-01
3.765114791379531867e-01,3.345520605625150745e-01,2.889364602995314057e-01
3.636318598582924944e-01,3.216230225181033742e-01,3.147451176236038539e-01
3.488879578712547613e-01,3.107875945267137285e-01,3.403244476020311771e-01
3.460310058839862757e-01,3.101941068295905879e-01,3.437748872864227478e-01
3.162209799632930696e-01,3.321625911299127543e-01,3.516164289067937876e-01
2.792538865298681006e-01,3.005316598623418711e-01,4.202144536077896397e-01
2.439634631215446825e-01,3.318727421520549781e-01,4.241637947263999786e-01
2.478169856336692456e-01,3.125151051654261325e-01,4.396679092009041501e-01
2.598045698237811396e-01,2.485711969109865027e-01,4.916242332652319136e-01
2.414788293241170170e-01,2.255927592039247698e-01,5.329284114719577969e-01
2.085068250518435917e-01,2.596935537789051285e-01,5.317996211692508357e-01
1.678241205400853309e-01,2.728863987182610362e-01,5.592894807416531888e-01
1.295277917795528144e-01,2.721274749081589173e-01,5.983447333122878797e-01
1.081055682234368792e-01,2.475423084648407657e-01,6.443521233117219804e-01
1.044310985341133369e-01,2.298870931137970419e-01,6.656818083520892326e-01
9.556167277402292937e-02,2.559414671269681363e-01,6.484968600990085319e-01
