L,C,R
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
9.016919832795476653e-02,8.196616033440904392e-01,9.016919832795476653e-02
1.639429943157012515e-01,6.724789486507799507e-01,1.635780570335187423e-01
2.559931427370920609e-01,4.912868370523287842e-01,2.527200202105790439e-01
3.385421889341378443e-01,3.381979015675307676e-01,3.232599094983311105e-01
4.080494687590890956e-01,2.413148548187472042e-01,3.506356764221635336e-01
4.391886158104874038e-01,1.620287296404309130e-01,3.987826545490815722e-01
4.334754245823453367e-01,1.696486357180211624e-01,3.968759396996333622e-01
5.344856820000307707e-01,6.489509209315692806e-02,4.006192259068121486e-01
5.385539268050396622e-01,8.395988510917842818e-02,3.774861880857817154e-01
5.313673819836148837e-01,1.116982124650052893e-01,3.569344055513796743e-01
5.436592466925850298e-01,1.149926398068024519e-01,3.413481135006123934e-01
5.541638215600893647e-01,1.131478420811476704e-01,3.326883363587629372e-01
5.841230979084041097e-01,8.375078735634167160e-02,3.321261147352541077e-01
5.817516822904359453e-01,1.006272387143475333e-01,3.176210789952164104e-01
5.826517101825536837e-01,1.201966578917590261e-01,2.971516319256871652e-01
6.102020284604172673e-01,1.035925026195640419e-01,2.862054689200185797e-01
6.142239234580140206e-01,1.038740664185252155e-01,2.819020101234607223e-01
6.277213512194176337e-01,9.976936709268702241e-02,2.725092816878953439e-01
6.316553048440834983e-01,1.078146106657631581e-01,2.605300844901533575e-01
6.339104666587178638e-01,1.155292251630754691e-01,2.505603081782066810e-01
6.486140895945317064e-01,1.160413071510793120e-01,2.353446032543889677e-01
6.575056146593304396e-01,1.181508485738427261e-01,2.243435367668268066e-01
6.927954753418673617e-01,9.469185877039500154e-02,2.125126658877375951e-01
6.946771627040910779e-01,1.071880866364097462e-01,1.981347506594991481e-01
6.949916329260922288e-01,1.054952740688587798e-01,1.995130930050490192e-01
6.992373066796226944e-01,1.095683640050821722e-01,1.911943293152951751e-01
6.968566010660373067e-01,1.198079544571978988e-01,1.833354444767647806e-01
7.239957938674566051e-01,9.435130903864394347e-02,1.816528970938994236e-01
7.219046642429237659e-01,9.426352368914353574e-02,1.838318120679326984e-01
7.153540968201766992e-01,1.085775816710880248e-01,1.760683215087352482e-01
7.659984093551378548e-01,6.845339768098640532e-02,1.655481929638757121e-01
7.690811524157257217e-01,7.538351014190754207e-02,1.555353374423666946e-01
7.779007046911720069e-01,7.390205051875933795e-02,1.481972447900685996e-01
8.157240202546094388e-01,4.438310706954155110e-02,1.398928726758489338e-01
7.889480653318621250e-01,8.157937453159699870e-02,1.294725601365407930e-01
7.952728321666248101e-01,8.223743072985653657e-02,1.224897371035185978e-01
8.004905350359617922e-01,8.425201975451759862e-02,1.152574452095204427e-01
7.820582702799283581e-01,1.065842941569259961e-01,1.113574355631456181e-01
7.852898547665977391e-01,1.066262054521996266e-01,1.080839397812025926e-01
7.938684001114715283e-01,1.017253362605442246e-01,1.044062636279841499e-01
7.732998458402455810e-01,1.209484646033031768e-01,1.057516895564511450e-01
7.777422483360884042e-01,1.219658917719346619e-01,1.002918598919768228e-01
7.742086924833395667e-01,1.310127733220881885e-01,9.477853419457213380e-02
