L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
2.466577339530431345e+00,9.506684532093913731e+01,2.466577339530431345e+00
6.062912015862505832e+00,8.788098131559088699e+01,6.056106668546600069e+00
1.241326240956374427e+01,7.614724285716123120e+01,1.143949473327501742e+01
2.657626098250286972e+01,5.406483824183677456e+01,1.935890077566035927e+01
3.383860083124425699e+01,4.221590862289061619e+01,2.394549054586513037e+01
3.555772445093008827e+01,3.835499520904642168e+01,2.608728034002349361e+01
4.096934265805808195e+01,3.054915935358233980e+01,2.848149798835958890e+01
4.403467357821148909e+01,2.678681125812994779e+01,2.917851516365857023e+01
4.728555646235201948e+01,2.480260177604523264e+01,2.791184176160275854e+01
5.057384265541134027e+01,2.036566908342269855e+01,2.906048826116597183e+01
5.204239012067574777e+01,2.026465150183075181e+01,2.769295837749351463e+01
5.339698017151343379e+01,2.003712426663684454e+01,2.656589556184973233e+01
5.425394760168038744e+01,2.120406064906584120e+01,2.454199174925378557e+01
5.820909279511140966e+01,1.783123355898478124e+01,2.395967364590381976e+01
5.817294239033060421e+01,1.803291344324756196e+01,2.379414416642184804e+01
5.820640895006952320e+01,1.877140950954300536e+01,2.302218154038747855e+01
5.698450834293694811e+01,2.139437854374859072e+01,2.162111311331447538e+01
5.791730159045383175e+01,2.167227100961075337e+01,2.041042739993543265e+01
5.903347266633721091e+01,2.110986802368462634e+01,1.985665930997818052e+01
5.874255956672615042e+01,2.195591290402445850e+01,1.930152752924940884e+01
6.204359848375093378e+01,1.969027118000895271e+01,1.826613033624013127e+01
6.362893007339329898e+01,1.904493573369733994e+01,1.732613419290936818e+01
6.722035816946106479e+01,1.666029664536896249e+01,1.611934518516998693e+01
6.637196214609798517e+01,1.862991705678044951e+01,1.499812079712157775e+01
6.860284391953479144e+01,1.701314558731003146e+01,1.438401049315518243e+01
6.995306293324404123e+01,1.592661058193399448e+01,1.412032648482197139e+01
6.916171375839920188e+01,1.725015871475279639e+01,1.358812752684802128e+01
7.223305451105161978e+01,1.496250428773780961e+01,1.280444120121059193e+01
7.357470087260314529e+01,1.416816877657480944e+01,1.225713035082206481e+01
7.307813670177823440e+01,1.529515920467922108e+01,1.162670409354257650e+01
