L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
8.872513077176249041e+00,8.225497384564751258e+01,8.872513077176249041e+00
1.423215044684752151e+01,7.116043404439163567e+01,1.460741550876084993e+01
1.846079086650762591e+01,6.427195268311795928e+01,1.726725645037442192e+01
2.361630628654870634e+01,5.662443751664326896e+01,1.975925619680803180e+01
2.795115784887491728e+01,4.908526916968609299e+01,2.296357298143899683e+01
3.175206887446131887e+01,4.408509156975330257e+01,2.416283955578538567e+01
3.657336546999135152e+01,3.719225453673691106e+01,2.623437999327174452e+01
3.865586084772068176e+01,3.613932991557569352e+01,2.520480923670363538e+01
4.679871361989947331e+01,2.231665275395947390e+01,3.088463362614105634e+01
5.039454227657872565e+01,1.934448437927114384e+01,3.026097334415014117e+01
5.090096460936646849e+01,1.957734709194282274e+01,2.952168829869070521e+01
5.493300386978037153e+01,1.691503940251959648e+01,2.815195672770002844e+01
5.520083966457578839e+01,1.780327935805036788e+01,2.699588097737384729e+01
5.667666565043663951e+01,1.637573527277503160e+01,2.694759907678832533e+01
5.744023391876896767e+01,1.725171453009188838e+01,2.530805155113914751e+01
6.045633624949568485e+01,1.373169679570584378e+01,2.581196695479848202e+01
5.977340203340843772e+01,1.542396517440631953e+01,2.480263279218525341e+01
5.954947838520175907e+01,1.727245323320795833e+01,2.317806838159028260e+01
6.110690013513433883e+01,1.677175744529177237e+01,2.212134241957389236e+01
6.192326518805063529e+01,1.715053405860905755e+01,2.092620075334030005e+01
6.203863860213856896e+01,1.775911792598121508e+01,2.020224347188021952e+01
6.267737203225195941e+01,1.821115140526011800e+01,1.911147656248791904e+01
6.420707264178355445e+01,1.672619581672567435e+01,1.906673154149075700e+01
6.470599874391730566e+01,1.715185983698273731e+01,1.814214141909994638e+01
6.678598311348086725e+01,1.561567285632288815e+01,1.759834403019623394e+01
6.703744281267911731e+01,1.640506891512164245e+01,1.655748827219922958e+01
6.699432329082610238e+01,1.706438067570321593e+01,1.594129603347066393e+01
6.922685525478505042e+01,1.541160902884139716e+01,1.536153571637354354e+01
6.892800561279690896e+01,1.685883535962479129e+01,1.421315902757829441e+01
6.728805481936724675e+01,1.949196844058775113e+01,1.321997674004498258e+01
