L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
2.531665378598427196e+01,4.113993198032846266e+01,3.354341423368727249e+01
3.143027424633170597e+01,3.257408534363694486e+01,3.599564041003136339e+01
3.449455969111608766e+01,2.964636649049278105e+01,3.585907381839113839e+01
3.698954632398893949e+01,2.850485230625569599e+01,3.450560136975537517e+01
3.793086557145407767e+01,2.656397678965915432e+01,3.550515763888676446e+01
4.124517094240039938e+01,1.970413091510270931e+01,3.905069814249689131e+01
4.142348986799533606e+01,2.206924336710413570e+01,3.650726676490051403e+01
4.135398766809368709e+01,2.091194111007427026e+01,3.773407122183203910e+01
4.181230397177336755e+01,2.034669889396972664e+01,3.784099713425688805e+01
4.219142687082933918e+01,1.671229807681463697e+01,4.109627505235601319e+01
4.271505677423919423e+01,1.769853516995897991e+01,3.958640805580181876e+01
4.303227750001500596e+01,1.799699321088843718e+01,3.897072928909654621e+01
4.352693342677002164e+01,2.013382211918394304e+01,3.633924445404603176e+01
4.398788950718090263e+01,1.894194583087099559e+01,3.707016466194809112e+01
4.492279564896603716e+01,2.114687342218020305e+01,3.393033092885374202e+01
4.553899245780803540e+01,2.205390291117513257e+01,3.240710463101681427e+01
4.915305843018857246e+01,1.507440006503343710e+01,3.577254150477796912e+01
4.861523283851071398e+01,1.596193016838235756e+01,3.542283699310690537e+01
5.168804647743306901e+01,1.401952180305428008e+01,3.429243171951262781e+01
5.037456762602258920e+01,1.732576722873689690e+01,3.229966514524048904e+01
5.108181584772935935e+01,1.556872500173614959e+01,3.334945915053447152e+01
5.132998706504793773e+01,1.601269692852241278e+01,3.265731600642962462e+01
5.034798247320430420e+01,1.781661344871690034e+01,3.183540407807877770e+01
5.122581939301704779e+01,1.705538081835813458e+01,3.171879978862479632e+01
5.167478077815231785e+01,1.755050354868140872e+01,3.077471567316625212e+01
5.119168691948569716e+01,1.912944642182038635e+01,2.967886665869388807e+01
5.087735631587935359e+01,1.854290398476362967e+01,3.057973969935698833e+01
5.335953542695965979e+01,1.274101282690452308e+01,3.389945174613578871e+01
5.310836410495119253e+01,1.458094541111498366e+01,3.231069048393379006e+01
5.266375128149854845e+01,1.469507611617515153e+01,3.264117260232627871e+01
