L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
1.985290593209461818e+01,6.029418813581076364e+01,1.985290593209461818e+01
2.563133418165857336e+01,4.648620050658001901e+01,2.788246531176141829e+01
2.664538377768549182e+01,4.577931840577746669e+01,2.757529781653705570e+01
3.264833652683943654e+01,3.604759814073485558e+01,3.130406533242572209e+01
3.606448443275095883e+01,3.229175058711000901e+01,3.164376498013903927e+01
4.060267572799651958e+01,2.830430860447088648e+01,3.109301566753260815e+01
4.335753505164686317e+01,2.741058128655064152e+01,2.923188366180249886e+01
4.437431453223454270e+01,2.835090940215512845e+01,2.727477606561032886e+01
4.960678053065544901e+01,2.382107828980038633e+01,2.657214117954417532e+01
5.322815730049396166e+01,2.027998693647047546e+01,2.649185576303557355e+01
5.738594850870171626e+01,1.676157081076598843e+01,2.585248068053230952e+01
5.706240457582558889e+01,1.854117144266254869e+01,2.439642398151186953e+01
5.910892910106426257e+01,1.713396581497294946e+01,2.375710508396280218e+01
6.035474739094181729e+01,1.654428837735825297e+01,2.310096423169994750e+01
6.050454728256377024e+01,1.740974501434216393e+01,2.208570770309409070e+01
6.268580983737859214e+01,1.572978292043844739e+01,2.158440724218298001e+01
6.214370054684258093e+01,1.751106319547594836e+01,2.034523625768149557e+01
6.306887707659991094e+01,1.800784110301591667e+01,1.892328182038419015e+01
6.434557256653309310e+01,1.741126869693176005e+01,1.824315873653517528e+01
6.659431678064353832e+01,1.613985907983941459e+01,1.726582413951707551e+01
6.779351296301389596e+01,1.575749416986212026e+01,1.644899286712400865e+01
6.819880931879946218e+01,1.632660211006588469e+01,1.547458857113466912e+01
6.648476176037662810e+01,1.890043068437165275e+01,1.461480755525173869e+01
6.812222647824984278e+01,1.765387815248335457e+01,1.422389536926682219e+01
7.300389795611737043e+01,1.349086608191213266e+01,1.350523596197052711e+01
7.577107389285031047e+01,1.131679661842253104e+01,1.291212948872719046e+01
7.451222083821835440e+01,1.358682845729224375e+01,1.190095070448942671e+01
7.252108653473101185e+01,1.618043735761931856e+01,1.129847610764969978e+01
7.146605419952746274e+01,1.786185395337782111e+01,1.067209184709475345e+01
7.168611235158600437e+01,1.795394072909000016e+01,1.035994691932401857e+01
