L,C,R
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.890581596921806218e-01,6.218836806156387009e-01,1.890581596921806218e-01
2.890216198897466171e-01,4.162537928476373605e-01,2.947245872626159668e-01
3.660188483139176219e-01,3.059621752084069612e-01,3.280189764776754169e-01
4.793132759228912465e-01,1.543243160995354246e-01,3.663624079775733566e-01
5.095340008727267112e-01,1.339429990568562212e-01,3.565230000704169289e-01
5.021069100105139960e-01,1.484227741405005907e-01,3.494703158489854133e-01
5.200319217225719548e-01,1.214268394358955783e-01,3.585412388415324392e-01
5.083275220397593941e-01,1.495045593265688089e-01,3.421679186336717970e-01
5.364021055286162243e-01,1.343963072715685658e-01,3.292015871998151266e-01
5.815660484626588023e-01,1.026993730164230956e-01,3.157345785209180189e-01
6.143939064656694926e-01,7.155607140828074142e-02,3.140500221260496549e-01
6.254909051022609079e-01,7.536420378486506644e-02,2.991448911128739008e-01
6.444106714385614554e-01,7.626179910425025243e-02,2.793275294571881395e-01
6.456809910711271971e-01,8.438502752781504301e-02,2.699339814010575656e-01
6.579914241915213458e-01,7.185628614325467733e-02,2.701522896652237549e-01
6.439496666546072889e-01,1.039250324076944065e-01,2.521253009376980825e-01
6.379362719571965989e-01,1.226983855800186096e-01,2.393653424627845971e-01
6.265080869060012381e-01,1.483338826682948364e-01,2.251580304257037868e-01
7.053698623089053044e-01,5.125354249726732370e-02,2.433765951938272332e-01
6.841051961516767532e-01,8.833965940649771142e-02,2.275551444418254521e-01
6.637865086532802605e-01,1.164337153303588029e-01,2.197797760163608116e-01
6.933308284540012911e-01,1.003738287142996316e-01,2.062953428316989246e-01
6.824254107158280735e-01,1.215596867060358827e-01,1.960149025781359466e-01
6.889793231840716237e-01,1.134673875380599745e-01,1.975532892778684435e-01
6.820882894800709417e-01,1.211334058720950207e-01,1.967783046478340236e-01
6.742342261215302779e-01,1.322758499476211491e-01,1.934899239308486008e-01
6.701446595907117887e-01,1.368486839873887528e-01,1.930066564218996250e-01
6.821879236182717410e-01,1.321557530847005391e-01,1.856563232970277477e-01
6.804031555456204750e-01,1.302770857982667729e-01,1.893197586561128909e-01
6.742621941322913814e-01,1.472490175594391160e-01,1.784887883082694748e-01
7.061033092199948680e-01,1.143107630778432277e-01,1.795859277021617240e-01
7.270562588855242758e-01,9.670893615581334368e-02,1.762348049586622833e-01
7.194373536903709843e-01,1.156041257720467341e-01,1.649585205375822261e-01
