L,C,R
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.064498266081899180e-01,5.871003467836201084e-01,2.064498266081899180e-01
2.588739807890559907e-01,4.532798049740823232e-01,2.878462142368617416e-01
3.071354959535715912e-01,3.343790919809040973e-01,3.584854120655244225e-01
3.357420602391241737e-01,2.851242034751177989e-01,3.791337362857581383e-01
3.827419908903362256e-01,1.945122930834310426e-01,4.227457160262327318e-01
4.196805961642299798e-01,1.673984381774503427e-01,4.129209656583197607e-01
4.352070348470521433e-01,1.451438066153573070e-01,4.196491585375906053e-01
4.564366862173238615e-01,1.354864990394199498e-01,4.080768147432562443e-01
4.853977979589734759e-01,1.191149438878932182e-01,3.954872581531334030e-01
4.801001586315766234e-01,1.367473483644460475e-01,3.831524930039773569e-01
4.904536004592370824e-01,1.434482807347661204e-01,3.660981188059968527e-01
5.014082045444696600e-01,1.504411827543006286e-01,3.481506127012297669e-01
4.927802520857514357e-01,1.794396929691570719e-01,3.277800549450915479e-01
5.211706604413027799e-01,1.310137086478139479e-01,3.478156309108833555e-01
5.338884573686174528e-01,1.337351885115668770e-01,3.323763541198158089e-01
5.437669592740298485e-01,1.392411139306772294e-01,3.169919267952930886e-01
5.492930782569299675e-01,1.289613870935855666e-01,3.217455346494846880e-01
5.604713412594510835e-01,1.258286142494715321e-01,3.137000444910776342e-01
5.488017572905873331e-01,1.304864079582707115e-01,3.207118347511421774e-01
5.538243922910832673e-01,1.382504806478561110e-01,3.079251270610608993e-01
5.511542727778924178e-01,1.507884563388739163e-01,2.980572708832339157e-01
5.568519129744483598e-01,1.480598974181540906e-01,2.950881896073977995e-01
5.636878807295688798e-01,1.507786471278231011e-01,2.855334721426082689e-01
6.053523836927184876e-01,9.983592332763974175e-02,2.948116929796420482e-01
5.998079990581501875e-01,1.214005190062781431e-01,2.787914819355719054e-01
6.181276957801629113e-01,1.128421938014719378e-01,2.690301104183653869e-01
6.497639986286215530e-01,9.279919907422982950e-02,2.574368022971488257e-01
6.441059921158153179e-01,1.083959805974094304e-01,2.474980272867755571e-01
6.384830911578415202e-01,1.163741979564178880e-01,2.451427108857407722e-01
6.611131118215007874e-01,1.039235274706871992e-01,2.349633607078122077e-01
6.595821648752085986e-01,1.152779738876737459e-01,2.251398612371178498e-01
6.678929957945469731e-01,1.144238741034553780e-01,2.176831301019979403e-01
6.705041347421142328e-01,1.244335221617307446e-01,2.050623430961552307e-01
6.921069697653137176e-01,1.104456247016911002e-01,1.974474055329953626e-01
7.014057858000326551e-01,1.100497309450313155e-01,1.885444832549362237e-01
7.294210750652888597e-01,9.234530539928127724e-02,1.782336195354300434e-01
7.238994102652230866e-01,1.062230683415684024e-01,1.698775213932087191e-01
7.225279061017044757e-01,1.085418332839443306e-01,1.689302606143514296e-01
7.561543930258263213e-01,7.885873929667545912e-02,1.649868676774984277e-01
7.630056770139023170e-01,8.009676028901925593e-02,1.568975626970786352e-01
7.660359843360881049e-01,8.520707778317621051e-02,1.487569378807359066e-01
7.425367662623372222e-01,1.145833837480416950e-01,1.428798499896212770e-01
8.100464854308397911e-01,4.844279945825211847e-02,1.415107151109082639e-01
7.928317896928304132e-01,7.580216723165143777e-02,1.313660430755183572e-01
7.821304467361654966e-01,9.661157453423740993e-02,1.212579787295973571e-01
7.707249158974730507e-01,1.145446510352146618e-01,1.147304330673125788e-01
7.716470255776987086e-01,1.029926361540181579e-01,1.253603382682834388e-01
7.678771952956676694e-01,9.964827303270534786e-02,1.324745316716272048e-01
7.572311838564462771e-01,1.192358676833096820e-01,1.235329484602444156e-01
7.811023127995845305e-01,8.403039589554260613e-02,1.348672913048732103e-01
7.633659116970266112e-01,1.077903609574095145e-01,1.288437273455641796e-01
7.575005153978179306e-01,1.215426152482482480e-01,1.209568693539341544e-01
7.571844522281125922e-01,1.257415242777965847e-01,1.170740234940911562e-01
8.003930624879395106e-01,8.728625484587851369e-02,1.123206826661822672e-01
7.843618339323046307e-01,1.115149351948983431e-01,1.041232308727972899e-01
7.810309123551916199e-01,1.092121333593795707e-01,1.097569542854290731e-01
7.746459225272892546e-01,1.175388876059473842e-01,1.078151898667636249e-01
8.084149540907453746e-01,8.399770534852091242e-02,1.075873405607339905e-01
7.976723063011857962e-01,1.027892530622025180e-01,9.953844063661197727e-02
7.956151046853431330e-01,1.088436422678857735e-01,9.554125304677155150e-02
7.628340768221094637e-01,1.458799128381458865e-01,9.128601033974502454e-02
8.056555080383990264e-01,9.989707545225562368e-02,9.444741650934580790e-02
8.049873098517498216e-01,1.040656808962066998e-01,9.094700925204377007e-02
7.832847667163099770e-01,1.283235564175095877e-01,8.839167686618087938e-02
8.036636403034218556e-01,1.076321071885927572e-01,8.870425250798588679e-02
7.766561610867254162e-01,1.376633677863934591e-01,8.568047112688161049e-02
7.388239078753950917e-01,1.767753688377673438e-01,8.440072328683809189e-02
7.462413819222061262e-01,1.583704996132456466e-01,9.538811846454876842e-02
7.159400529897474996e-01,1.864391091390450450e-01,9.762083787120795497e-02
7.074893186992923244e-01,1.842672484635362318e-01,1.082434328371719295e-01
7.920500888487669311e-01,9.770644381001122869e-02,1.102434673412223815e-01
7.531867432982146671e-01,1.395514037681932218e-01,1.072618529335927773e-01
7.172330484345917911e-01,1.761050194754712472e-01,1.066619320899376833e-01
6.815291285901722285e-01,2.061596166753388026e-01,1.123112547344895101e-01
6.952251727638628642e-01,1.884911902113004800e-01,1.162836370248371554e-01
6.530752754708221142e-01,2.292768984137660004e-01,1.176478261154123572e-01
6.589881140096603973e-01,2.151479997271311950e-01,1.258638862632089350e-01
6.956726605924359319e-01,1.510550505126355136e-01,1.532722888949290541e-01
6.501647563403624153e-01,2.009093446542587758e-01,1.489258990053792808e-01
6.294421485933762161e-01,1.995829095923693786e-01,1.709749418142548771e-01
5.761840491235752371e-01,2.456838810756463987e-01,1.781320698007789471e-01
5.908412239814613276e-01,2.229155287229880045e-01,1.862432472955511675e-01
5.747263087921041791e-01,2.212901672610056714e-01,2.039835239468906769e-01
5.217657476873425182e-01,2.209351083990185594e-01,2.572991439136393943e-01
5.068638407124843592e-01,2.077037473960931524e-01,2.854324118914229880e-01
4.496032963212923672e-01,2.588577520939844279e-01,2.915389515847237045e-01
4.434333183828921832e-01,2.348745365266125540e-01,3.216921450904957624e-01
4.316666598288698697e-01,1.761101261854866040e-01,3.922232139856439703e-01
3.838672612913123228e-01,2.241388911350572499e-01,3.919938475736309269e-01
3.549697983474005003e-01,2.106813302325832860e-01,4.343488714200166578e-01
3.162870045843028666e-01,2.338446739567798249e-01,4.498683214589178081e-01
2.621440656716682582e-01,2.632074429228007939e-01,4.746484914055313920e-01
2.475547735644541003e-01,2.779656209194086847e-01,4.744796055161376591e-01
2.223409936129624176e-01,2.085761585110150196e-01,5.690828478760230347e-01
1.955810208486640223e-01,2.009796038428418863e-01,6.034393753084945633e-01
1.752525500848454987e-01,2.010446420760651498e-01,6.237028078390898234e-01
1.513014560072811487e-01,1.854548493757479932e-01,6.632436946169713021e-01
1.349879397163077088e-01,1.979225640835022559e-01,6.670894962001904238e-01
1.094219900851593485e-01,2.310497362697963852e-01,6.595282736450447381e-01
1.073223853891795143e-01,2.046625464184659571e-01,6.880150681923550282e-01
9.295738535284531201e-02,2.543725506139203896e-01,6.526700640332347980e-01
9.062254882904136055e-02,2.154284619924657085e-01,6.939489891784934583e-01
8.139382901779552981e-02,1.911163255730052857e-01,7.274898454091995870e-01
6.620928908017040260e-02,2.242671134740178707e-01,7.095235974458121708e-01
7.512540786015649286e-02,1.468783807867803104e-01,7.779962113530636270e-01
