L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
7.779238747458868453e+00,8.245961547847018380e+01,9.761145774070952186e+00
1.365937464518495581e+01,7.174856385267408143e+01,1.459206150214096276e+01
2.281241052465986741e+01,4.811529427025601535e+01,2.907229520508411369e+01
2.829897458735606008e+01,3.044964444726284114e+01,4.125138096538108101e+01
3.120626375359094951e+01,2.715559553488262523e+01,4.163814071152641105e+01
3.243932718257111247e+01,1.966814873726288582e+01,4.789252408016599105e+01
3.180639681962500376e+01,2.260669741796213472e+01,4.558690576241284020e+01
3.235023392941032938e+01,2.471570691258392571e+01,4.293405915800571648e+01
3.530065912835488717e+01,2.290163521579478356e+01,4.179770565585030084e+01
3.509720829720812674e+01,2.389838978552674220e+01,4.100440191726510619e+01
3.539553966938722596e+01,2.465655143775062541e+01,3.994790889286210955e+01
3.805317630880097823e+01,1.878766150864219497e+01,4.315916218255677705e+01
3.803870606279973998e+01,2.006828224492522494e+01,4.189301169227499599e+01
3.915892285103044657e+01,2.205539911944014975e+01,3.878567802952937171e+01
3.940738572643414983e+01,2.323519236182603365e+01,3.735742191173977744e+01
4.149552437491824008e+01,2.136717707408817901e+01,3.713729855099353472e+01
4.238295554206176519e+01,2.172629716493160856e+01,3.589074729300657651e+01
4.264873355773775643e+01,2.310432202008720992e+01,3.424694442217499102e+01
4.393740175528989766e+01,1.886411648224150639e+01,3.719848176246855331e+01
4.498654805983529315e+01,1.897367760364273082e+01,3.603977433652192985e+01
4.600827047040109363e+01,1.768738834604571508e+01,3.630434118355314155e+01
4.765837354871657539e+01,1.661050536506663988e+01,3.573112108621674565e+01
4.775514284216493621e+01,1.679822010811275490e+01,3.544663704972226270e+01
4.764566719026924346e+01,1.908354026257478964e+01,3.327079254715591361e+01
5.303029628372598125e+01,1.631043490379860117e+01,3.065926881247537494e+01
5.578285896216024753e+01,1.300979848954992946e+01,3.120734254828977328e+01
5.615400025572429854e+01,1.423792240705447831e+01,2.960807733722117518e+01
5.647663153020410931e+01,1.288743618307408845e+01,3.063593228672176849e+01
5.703005255377595972e+01,1.182612062286014520e+01,3.114382682336386310e+01
5.652101039730818144e+01,1.462387066912520339e+01,2.885511893356657609e+01
