L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
2.038042652202710414e+01,5.923914695594578461e+01,2.038042652202710414e+01
3.058908288013090626e+01,3.888555211597287098e+01,3.052536500389622631e+01
3.427133085869090223e+01,3.204158825791632381e+01,3.368708088339276685e+01
3.617603856631827597e+01,2.768127507071115545e+01,3.614268636297055792e+01
3.816398518665009476e+01,2.557295413430634312e+01,3.626306067904356922e+01
3.983523328660641027e+01,2.308431329871859816e+01,3.708045341467499867e+01
4.102738205793747994e+01,2.356518255334223966e+01,3.540743538872028751e+01
4.157593843708293235e+01,2.240776968931726643e+01,3.601629187359981188e+01
4.242678846627738665e+01,2.156105290447581879e+01,3.601215862924680522e+01
4.499390582652227266e+01,2.181377090682734377e+01,3.319232326665040489e+01
4.563773935114961233e+01,2.196912309890374715e+01,3.239313754994665118e+01
4.730739455997316867e+01,2.153318028160613196e+01,3.115942515842071714e+01
4.935336678289493051e+01,1.814825728564339258e+01,3.249837593146170178e+01
5.072395345276316903e+01,1.627078827443424913e+01,3.300525827280259961e+01
5.157234555156446731e+01,1.586017428567720522e+01,3.256748016275834345e+01
5.221297461293246300e+01,1.654792917420774145e+01,3.123909621285982041e+01
5.250740865055710316e+01,1.750724580564906674e+01,2.998534554379384431e+01
5.372537098536815137e+01,1.681492657168738702e+01,2.945970244294447937e+01
5.415462972868449043e+01,1.776641433267998238e+01,2.807895593863554140e+01
5.453528240458430076e+01,1.770008999577137487e+01,2.776462759964433857e+01
5.420076721635377481e+01,2.008659511352139404e+01,2.571263767012484536e+01
5.592187796773151831e+01,1.898608033447546717e+01,2.509204169779302518e+01
5.669930029914019087e+01,1.966450062044603442e+01,2.363619908041377826e+01
5.810177126746946641e+01,1.778435065076291366e+01,2.411387808176763414e+01
5.895336774814416714e+01,1.813285346286939159e+01,2.291377878898645193e+01
6.153265896196643325e+01,1.654226618828788276e+01,2.192507484974569820e+01
6.503117611344477211e+01,1.419139561450084130e+01,2.077742827205440435e+01
6.622808427558457822e+01,1.455640998475573333e+01,1.921550573965969377e+01
6.556723177691604576e+01,1.647479391479092570e+01,1.795797430829303565e+01
6.716377559861899726e+01,1.518570770209147547e+01,1.765051669928954325e+01
