L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
3.054317566983694121e+01,3.891364866032611758e+01,3.054317566983694121e+01
3.806780121080048929e+01,2.787541816730935196e+01,3.405678062189015520e+01
3.882069139341022179e+01,2.740254314592834461e+01,3.377676546066143004e+01
3.917520515469168885e+01,2.565531326944170587e+01,3.516948157586660528e+01
4.036153660044201530e+01,2.524362131228192752e+01,3.439484208727605363e+01
4.234105292728990122e+01,2.054006111474424401e+01,3.711888595796585122e+01
4.463583852850544531e+01,1.732744119288095064e+01,3.803672027861360050e+01
4.471897553777805712e+01,2.068383448366676802e+01,3.459718997855516420e+01
4.615558598566196480e+01,1.765088180452751132e+01,3.619353220981051322e+01
4.628010637622088552e+01,2.039054688886762179e+01,3.332934673491148914e+01
4.551129104558342675e+01,2.209831145984091449e+01,3.239039749457565165e+01
4.612550179533300820e+01,2.232405850166622940e+01,3.155043970300075173e+01
4.744721429944662106e+01,2.166346916080300389e+01,3.088931653975037150e+01
4.902489103478086463e+01,2.033414484137473366e+01,3.064096412384440171e+01
4.903802499182358332e+01,2.121697566421605075e+01,2.974499934396036949e+01
5.079022451172380670e+01,2.004812332696887722e+01,2.916165216130731253e+01
4.971111200467314717e+01,2.082200178855932649e+01,2.946688620676751214e+01
5.016414561598261912e+01,1.920063165664010896e+01,3.063522272737726482e+01
5.168253145511690860e+01,1.850303978378223846e+01,2.981442876110084583e+01
5.034606872044216885e+01,2.205121829456692240e+01,2.760271298499090165e+01
5.039993170782179988e+01,2.326869348577299945e+01,2.633137480640519357e+01
5.235589015333733443e+01,2.295481167678501677e+01,2.468929816987764170e+01
5.832913646001046004e+01,1.765808786427690436e+01,2.401277567571262850e+01
5.900778784847209835e+01,1.770424851280681722e+01,2.328796363872108444e+01
5.888749256196771853e+01,1.950277658733736175e+01,2.160973085069491972e+01
6.100614342868892237e+01,1.823428485411788103e+01,2.075957171719319660e+01
6.592647092865611569e+01,1.369851856915093258e+01,2.037501050219295351e+01
6.502138064425088260e+01,1.615808423277109895e+01,1.882053512297801845e+01
6.830867386020008780e+01,1.384745375866284611e+01,1.784387238113706786e+01
6.826379398012691979e+01,1.450089185115091972e+01,1.723531416872215516e+01
