L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
1.482934601874883818e+01,7.034130796250232720e+01,1.482934601874883818e+01
2.227460118459389449e+01,5.528190609437928060e+01,2.244349272102683912e+01
2.474517242500444070e+01,5.155721271241159798e+01,2.369761486258397909e+01
2.903718922644480571e+01,4.335243748050822887e+01,2.761037329304698673e+01
3.671335518984191992e+01,2.877438330682091205e+01,3.451226150333717868e+01
4.109679243178894836e+01,2.166718019239266013e+01,3.723602737581840216e+01
4.163763515399140402e+01,2.251483888056530347e+01,3.584752596544329606e+01
4.334050079640888242e+01,2.144815782524151970e+01,3.521134137834959432e+01
4.318581268066509438e+01,2.315655137773357808e+01,3.365763594160133465e+01
4.582460090000638075e+01,2.138504417073512442e+01,3.279035492925849837e+01
4.547209038520012570e+01,2.161913187259882463e+01,3.290877774220105323e+01
4.684845586431717379e+01,2.251195306896067905e+01,3.063959106672215071e+01
4.944258199117641084e+01,2.136288640638666436e+01,2.919453160243692835e+01
4.962062665451787780e+01,2.214392168421234430e+01,2.823545166126979211e+01
5.095596867295125065e+01,2.089645403959801939e+01,2.814757728745074417e+01
5.421769257017252386e+01,1.751218630462225434e+01,2.827012112520523246e+01
5.769006314826717130e+01,1.597962259805384377e+01,2.633031425367899558e+01
5.992933900498668010e+01,1.427752204392748325e+01,2.579313895108584020e+01
6.091117921418169345e+01,1.530715526754243250e+01,2.378166551827588293e+01
6.092812364488415966e+01,1.656801707176562388e+01,2.250385928335022712e+01
6.015716691886721179e+01,1.769390462663353958e+01,2.214892845449925929e+01
5.932213724804058330e+01,2.017848659855685156e+01,2.049937615340256869e+01
5.934686829814566522e+01,2.090107394971571964e+01,1.975205775213862580e+01
6.349127009107447606e+01,1.630550810746587587e+01,2.020322180145965874e+01
6.256535534359034045e+01,1.896403716552475416e+01,1.847060749088491960e+01
6.204750535465053218e+01,1.948265305862816987e+01,1.846984158672130505e+01
6.541075869964036826e+01,1.715511896974689066e+01,1.743412233061275529e+01
6.450837164561127679e+01,1.857524661427335744e+01,1.691638174011537288e+01
6.473368953238103529e+01,1.784883602220510568e+01,1.741747444541387679e+01
6.550617761816555173e+01,1.765794281255218223e+01,1.683587956928227314e+01
