L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
9.555214502639543639e+00,8.088957099472091272e+01,9.555214502639543639e+00
1.496472360613914532e+01,7.117620087280802466e+01,1.385907552105283180e+01
2.348236798565185879e+01,5.746972995049556943e+01,1.904790206385258600e+01
3.206618374593357856e+01,4.331049021945068489e+01,2.462332603461574010e+01
3.543593200850557423e+01,3.570247248461816980e+01,2.886159550687625952e+01
3.699572823424549028e+01,3.400143154025460746e+01,2.900284022549989515e+01
3.941955894266147453e+01,2.926102169191554836e+01,3.131941936542297356e+01
4.202333993813321200e+01,2.618236974937805428e+01,3.179429031248873727e+01
4.365872239673992539e+01,2.678812263375215252e+01,2.955315496950791498e+01
4.471687167671458241e+01,2.473389157908387759e+01,3.054923674420154001e+01
4.591323059050636601e+01,2.460187866441329518e+01,2.948489074508033880e+01
4.657023201188484762e+01,2.531379737588764556e+01,2.811597061222751037e+01
4.710606344728615369e+01,2.541764311460001124e+01,2.747629343811383151e+01
5.047637260051348562e+01,2.298321861616997452e+01,2.654040878331653630e+01
5.142619828317734232e+01,1.911918525513835831e+01,2.945461646168429226e+01
5.201939165513468311e+01,1.966291020443699367e+01,2.831769814042831968e+01
5.206003691699643809e+01,2.012787890438803728e+01,2.781208417861551752e+01
5.351048849011501574e+01,2.005777561401574260e+01,2.643173589586923811e+01
5.374671793030807265e+01,1.828096746727092281e+01,2.797231460242100809e+01
5.438234291631753337e+01,1.950588009098581210e+01,2.611177699269664387e+01
5.682877967989228551e+01,1.776056890440701252e+01,2.541065141570069486e+01
5.734662084586829423e+01,1.870640510626383346e+01,2.394697404786787232e+01
5.799766251142415996e+01,2.012897945110231746e+01,2.187335803747351903e+01
5.871851287228283667e+01,1.995116447988787201e+01,2.133032264782929133e+01
6.094864224499735883e+01,1.917887478661605272e+01,1.987248296838658845e+01
6.026297239898435265e+01,2.079404031311110046e+01,1.894298728790453623e+01
6.181182000225492601e+01,1.993822439942352887e+01,1.824995559832154512e+01
6.160729418269292523e+01,2.026949680327337333e+01,1.812320901403369433e+01
6.093800943407006798e+01,2.127502789896876223e+01,1.778696266696116979e+01
6.260983265028312417e+01,1.969673429496198835e+01,1.769343305475488037e+01
