L,C,R
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
2.441898337201706959e-01,5.116203325596586637e-01,2.441898337201706959e-01
3.810843559976223593e-01,2.588130071852090541e-01,3.601026368171685865e-01
4.474174973872576677e-01,1.500158173081588275e-01,4.025666853045835603e-01
4.579893171628336423e-01,1.659538872931701214e-01,3.760567955439962917e-01
4.749118901083217992e-01,1.661550230431895203e-01,3.589330868484887360e-01
5.000849909857877362e-01,1.400798906651547215e-01,3.598351183490576255e-01
5.263869159912166751e-01,1.405349924602806722e-01,3.330780915485027638e-01
5.225731755805030909e-01,1.527018946050465176e-01,3.247249298144505025e-01
5.189856173603680789e-01,1.653350348005101500e-01,3.156793478391218266e-01
5.315663900100155992e-01,1.293157885717305389e-01,3.391178214182538619e-01
5.495564330232435291e-01,1.066583233582221735e-01,3.437852436185342420e-01
5.538265310003337438e-01,1.266421578764186373e-01,3.195313111232475634e-01
5.655607993634460540e-01,1.149592556823531564e-01,3.194799449542007341e-01
5.727975513427699950e-01,1.045901433454805435e-01,3.226123053117493922e-01
5.768063904673476072e-01,1.084273529645008449e-01,3.147662565681514923e-01
5.677808930674064225e-01,1.406381209982899283e-01,2.915809859343035937e-01
5.590447159927459664e-01,1.554552840133951175e-01,2.854999999938588884e-01
5.632357171567906606e-01,1.581987837586256163e-01,2.785654990845837231e-01
5.725137102637635200e-01,1.660877521480129682e-01,2.613985375882235118e-01
5.850134638120547681e-01,1.633525663410876350e-01,2.516339698468575969e-01
5.850128592266085059e-01,1.703519099695106342e-01,2.446352308038809431e-01
5.926889045256220623e-01,1.672606906142155014e-01,2.400504048601624640e-01
6.041245165829626229e-01,1.636187249409327693e-01,2.322567584761046355e-01
6.140929566266949413e-01,1.578906597579473325e-01,2.280163836153576984e-01
6.449873765321140207e-01,1.123841550749175716e-01,2.426284683929683106e-01
6.323538033220705845e-01,1.310422301484177876e-01,2.366039665295116279e-01
6.602910879701516800e-01,1.077970967240560046e-01,2.319118153057923293e-01
6.836923803278938117e-01,8.166845820628139407e-02,2.346391614658248359e-01
