L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
6.762100224104710122e+00,7.246834645502990213e+01,2.076955332086539485e+01
1.646681779979855165e+01,5.332219789928634412e+01,3.021098430091510423e+01
2.031361428080369436e+01,4.366179455874171822e+01,3.602459116045458387e+01
2.374674779376976019e+01,3.708495031277939802e+01,3.916830189345083113e+01
2.618472654499855068e+01,3.199785103306836831e+01,4.181742242193308101e+01
2.761427153344445529e+01,3.069833763441693009e+01,4.168739083213861107e+01
3.026547261495470309e+01,2.531421292700713011e+01,4.442031445803817036e+01
3.286795997417949877e+01,1.850594842943307583e+01,4.862609159638742540e+01
3.250539001339218004e+01,1.913662214555457908e+01,4.835798784105324444e+01
3.229430491074296583e+01,2.353664626310909469e+01,4.416904882614793593e+01
3.533675867241637292e+01,2.108035907800454822e+01,4.358288224957907886e+01
3.613352578506444246e+01,2.229717291480968200e+01,4.156930130012587910e+01
3.705577687348979055e+01,1.558768495783157881e+01,4.735653816867863242e+01
3.704500943331800045e+01,1.800168006708048907e+01,4.495331049960150693e+01
3.747003730730592252e+01,1.923008937568292609e+01,4.329987331701114073e+01
3.872877278654231503e+01,1.931135711335128846e+01,4.195987010010639295e+01
3.862502088420248469e+01,1.878782729195563306e+01,4.258715182384187870e+01
3.984047810799602729e+01,1.623085054299940921e+01,4.392867134900455994e+01
4.037550460049804002e+01,1.895715465067532435e+01,4.066734074882663208e+01
4.068556189960121827e+01,2.153741129934165244e+01,3.777702680105712574e+01
4.362187654806237447e+01,2.028783708082821136e+01,3.609028637110940707e+01
4.585712340117647301e+01,1.820613661252354021e+01,3.593673998629997612e+01
4.662909603713446671e+01,1.505897271086369216e+01,3.831193125200183403e+01
4.630955058877766106e+01,1.480873906986948718e+01,3.888171034135283577e+01
4.557455215937098814e+01,1.681594786991135848e+01,3.760949997071764273e+01
4.653220179309715121e+01,1.637221108241210388e+01,3.709558712449074136e+01
4.929239990548975925e+01,9.942733663422780310e+00,4.076486643108744801e+01
4.825737520196877739e+01,1.443130951845211030e+01,3.731131527957909810e+01
4.868316983807707032e+01,1.531064768665222608e+01,3.600618247527069826e+01
4.852895255148646925e+01,1.607070208262377164e+01,3.540034536588974845e+01
