L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
1.268441406580404340e+01,6.837164468115771854e+01,1.894394125303822918e+01
1.389127735104404060e+01,5.930850581422407686e+01,2.680021683473186656e+01
2.342755275542519655e+01,4.224742286324376295e+01,3.432502438133102629e+01
2.998321115366574574e+01,2.631582576475015500e+01,4.370096308158409215e+01
3.285070704736078540e+01,2.095644719149814605e+01,4.619284576114105789e+01
3.263034156521649720e+01,2.034821376048148522e+01,4.702144467430201047e+01
3.469736725505286046e+01,1.926114257855076062e+01,4.604149016639637892e+01
3.468332957386760285e+01,2.151030248338445006e+01,4.380636794274794710e+01
3.496643528111044219e+01,2.395778555442976199e+01,4.107577916445978161e+01
3.506320153772548309e+01,2.392188712093567915e+01,4.101491134133883776e+01
3.724021780698430462e+01,2.066872230931554100e+01,4.209105988370014728e+01
3.993748763552228809e+01,1.577055136521952683e+01,4.429196099925817975e+01
4.210485321251231028e+01,1.524785936069199899e+01,4.264728742679569251e+01
4.352884717241661150e+01,1.356696750875168078e+01,4.290418531883170772e+01
4.282876909167556079e+01,1.756228515196030671e+01,3.960894575636412895e+01
4.445172729372428222e+01,1.255219345268928599e+01,4.299607925358642291e+01
4.443895524833272503e+01,1.519650964027950124e+01,4.036453511138775951e+01
4.380699069242299259e+01,1.669803282494682151e+01,3.949497648263018590e+01
4.424558753090477836e+01,1.968151328510525389e+01,3.607289918398996065e+01
4.602476037164385758e+01,1.997162166739666134e+01,3.400361796095947398e+01
4.584705642700306072e+01,1.988409543773050103e+01,3.426884813526643114e+01
4.670508404720327889e+01,1.549306835432207485e+01,3.780184759847465870e+01
4.603184127942665071e+01,1.818105104808937966e+01,3.578710767248396962e+01
4.568524294929926555e+01,1.907539178197005825e+01,3.523936526873068686e+01
4.919025857121815193e+01,1.742384399295692177e+01,3.338589743582493696e+01
5.111861382769896522e+01,1.729887050803984394e+01,3.158251566426119439e+01
5.221943755198799408e+01,1.746796613918136032e+01,3.031259630883063849e+01
5.269637720602353426e+01,1.620396853005600235e+01,3.109965426392045629e+01
5.371621254153949820e+01,1.361581795894083591e+01,3.266796949951967122e+01
5.435609105422761189e+01,1.535584778468274436e+01,3.028806116108964730e+01
