L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
1.340332863640146144e+01,6.654789539259652997e+01,2.004877597100200859e+01
2.196270398607120100e+01,4.846517340584897937e+01,2.957212260807982318e+01
2.415298980513145111e+01,4.507166649769309430e+01,3.077534369717545459e+01
2.892279236894529149e+01,3.431871931654328733e+01,3.675848831451141763e+01
2.988078946878156827e+01,3.022564535830640864e+01,3.989356517291201953e+01
3.207422930485750356e+01,2.715319248043730838e+01,4.077257821470518451e+01
3.471675819364028115e+01,2.173727613575708872e+01,4.354596567060261947e+01
3.749054556902203927e+01,2.220715418657016826e+01,4.030230024440777470e+01
3.740534907025259059e+01,2.155367354130039814e+01,4.104097738844699705e+01
4.138259311271767871e+01,1.662767426721368125e+01,4.198973262006862228e+01
4.185220718880685808e+01,1.918320337556189870e+01,3.896458943563121835e+01
4.116428878651297651e+01,2.142429125807752044e+01,3.741141995540947818e+01
4.233380747410035383e+01,2.046923090365648079e+01,3.719696162224314406e+01
4.261703887317813866e+01,1.708728043552641296e+01,4.029568069129543062e+01
4.199808887219947451e+01,1.780014738952385045e+01,4.020176373827666083e+01
4.499354211153337246e+01,1.412447090283978390e+01,4.088198698562683120e+01
4.458704675313888544e+01,1.756854289276369840e+01,3.784441035409739840e+01
4.569708399633045559e+01,1.853914195872963333e+01,3.576377404493990042e+01
4.556897377010219685e+01,1.908751215628464948e+01,3.534351407361313591e+01
4.714502503506800934e+01,1.773295922366377653e+01,3.512201574126819992e+01
4.683309130762072670e+01,1.977950654258645002e+01,3.338740214979281262e+01
4.786897732127535932e+01,2.004011533807393519e+01,3.209090734065070194e+01
4.830854212720871743e+01,1.994881479769529520e+01,3.174264307509598027e+01
5.137258061047148772e+01,1.411117137333603999e+01,3.451624801619246341e+01
5.125266854494759627e+01,1.635719565340764703e+01,3.239013580164474604e+01
5.083380845291879524e+01,1.430334166964641973e+01,3.486284987743477615e+01
5.130345144940065438e+01,1.641568237901028837e+01,3.228086617158906080e+01
5.125569061935834725e+01,1.873961250794596012e+01,3.000469687269568908e+01
5.325420758368885998e+01,1.401169146052489900e+01,3.273410095578623924e+01
5.343830463909594641e+01,1.485697919962280444e+01,3.170471616128125092e+01
