L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
2.164882118839918590e+01,5.287667326503466114e+01,2.547450554656615296e+01
2.628469416575369166e+01,4.238831569056286952e+01,3.132699014368344592e+01
3.037417529309694331e+01,3.517385725646627748e+01,3.445196745043678987e+01
3.211010086633720562e+01,3.086772755370276400e+01,3.702217157996003039e+01
3.516271905975023060e+01,2.516844016292431618e+01,3.966884077732545677e+01
3.717896323226151623e+01,2.459109424922380072e+01,3.822994251851468306e+01
4.081704034580203455e+01,1.882555193055801013e+01,4.035740772363995887e+01
4.179713978271718844e+01,2.045199409022741932e+01,3.775086612705538869e+01
4.210982162964527475e+01,1.693761629083083520e+01,4.095256207952387939e+01
4.224159302857744791e+01,2.049506315495037967e+01,3.726334381647216532e+01
4.362647279363224584e+01,1.683090569798035574e+01,3.954262150838739132e+01
4.763969266820464554e+01,8.148974350684435208e+00,4.421133298111092103e+01
4.710271989125866554e+01,1.274582269019151859e+01,4.015145741854980344e+01
4.807829974834556452e+01,1.241731329722253641e+01,3.950438695443188664e+01
4.775990473384242563e+01,1.323753872731239767e+01,3.900255653884516960e+01
4.944714175677100343e+01,1.393369029810894943e+01,3.661916794512004003e+01
4.940036693793189215e+01,1.605361174479071451e+01,3.454602131727738623e+01
4.802275824900801382e+01,1.936483065950812943e+01,3.261241109148384254e+01
4.942858108840980691e+01,1.920614168420464196e+01,3.136527722738552981e+01
4.937047910060520195e+01,1.977055760384238781e+01,3.085896329555238538e+01
4.971315388778711508e+01,1.864768596467780881e+01,3.163916014753505479e+01
5.000244309533571396e+01,1.764780993428464484e+01,3.234974697037961988e+01
5.175784182540682110e+01,1.784264164710880962e+01,3.039951652748434796e+01
5.206608441564758749e+01,1.557289058391673997e+01,3.236102500043564589e+01
5.116688368107418938e+01,1.813476083963469421e+01,3.069835547929109154e+01
5.038036165044977821e+01,1.802442170037894442e+01,3.159521664917124539e+01
4.997652298200259224e+01,1.864939023535474760e+01,3.137408678264263884e+01
5.090910288726266941e+01,1.893683194815467985e+01,3.015406516458263297e+01
5.216020437964740353e+01,1.747622269412901375e+01,3.036357292622355786e+01
5.329145648671212854e+01,1.721886567836356008e+01,2.948967783492429007e+01
