L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
3.035984914616568275e+00,8.818802236896794966e+01,8.775992716415474959e+00
1.621720293359390652e+01,5.460360740652904354e+01,2.917918965987704283e+01
2.044178982688423574e+01,4.739556547571106648e+01,3.216264469740469423e+01
2.701493554830648591e+01,3.044929730616412655e+01,4.253576714552938398e+01
2.768269245778560261e+01,2.699095147308567277e+01,4.532635606912872817e+01
2.949045280440899930e+01,2.654374027374487355e+01,4.396580692184613071e+01
3.019746923595481292e+01,2.661835380673003826e+01,4.318417695731514527e+01
3.142112903403183921e+01,2.243267284025714403e+01,4.614619812571100965e+01
3.458558456227901701e+01,2.185464825289434998e+01,4.355976718482663301e+01
3.717742402915410338e+01,1.953901549798624515e+01,4.328356047285965502e+01
3.906505291259824020e+01,1.804786855736390194e+01,4.288707853003786141e+01
3.886385524211980425e+01,1.831584214807179833e+01,4.282030260980840808e+01
3.815887463793098533e+01,2.100550320206007626e+01,4.083562216000893841e+01
3.945175176440877607e+01,1.910571713110519809e+01,4.144253110448603650e+01
3.980812239380220063e+01,2.036147934427696171e+01,3.983039826192084121e+01
4.148408000821500963e+01,2.067846699948436395e+01,3.783745299230061931e+01
4.192648603972663324e+01,2.121334342768237136e+01,3.686017053259099185e+01
4.351124504670838178e+01,1.903479156590068655e+01,3.745396338739092101e+01
4.855480052623858001e+01,1.446271686369589737e+01,3.698248261006551019e+01
4.871426724223763216e+01,1.523163703645138334e+01,3.605409572131097917e+01
4.957534291800907766e+01,1.621644381984183170e+01,3.420821326214909419e+01
5.016455020129956210e+01,1.766957991710627951e+01,3.216586988159415483e+01
5.044495658994145515e+01,1.919121687363191597e+01,3.036382653642662532e+01
5.187001093181433475e+01,1.841416227190147481e+01,2.971582679628417978e+01
5.360713669060211117e+01,1.825887462881057033e+01,2.813398868058731139e+01
5.588446537852601637e+01,1.389903613378646163e+01,3.021649848768751667e+01
5.523787780837707118e+01,1.524383747578954740e+01,2.951828471583337432e+01
5.670207721969419623e+01,1.395709477806166454e+01,2.934082800224413390e+01
5.721915273223620346e+01,1.354516206629257091e+01,2.923568520147121319e+01
5.601553072602690264e+01,1.577852387696884584e+01,2.820594539700423908e+01
