L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
1.226180008135534827e+01,7.547639983728930702e+01,1.226180008135534827e+01
1.781478933100493123e+01,6.529406172192211955e+01,1.689114894707293502e+01
2.604609795737068723e+01,4.973024802159799407e+01,2.422365402103131871e+01
3.571004035720789460e+01,3.602915872152367882e+01,2.826080092126842658e+01
3.906082954716872990e+01,3.229901095595948135e+01,2.864015949687177809e+01
4.276490875136357772e+01,2.362425351701914522e+01,3.361083773161726640e+01
4.424673932254518860e+01,2.288165012501070450e+01,3.287161055244409624e+01
4.416836133738836878e+01,2.332221481999090074e+01,3.250942384262073404e+01
4.646913607246715827e+01,2.302598418901783006e+01,3.050487973851501167e+01
4.914295192564409120e+01,2.080424511050292935e+01,3.005280296385298300e+01
5.101998541951865462e+01,1.958300068166608199e+01,2.939701389881525984e+01
5.082625976169470050e+01,2.109802823951639184e+01,2.807571199878890766e+01
5.106577570547125333e+01,2.130533084699045432e+01,2.762889344753827814e+01
5.743836159480208181e+01,1.535426636931979694e+01,2.720737203587810882e+01
5.719621824300912039e+01,1.779541431196626533e+01,2.500836744502460363e+01
5.618383599384569749e+01,1.930827233508309604e+01,2.450789167107120292e+01
6.048858760317966698e+01,1.579036185086296662e+01,2.372105054595736462e+01
5.942334271542466695e+01,1.887844384722604474e+01,2.169821343734928476e+01
5.995231980791245974e+01,1.885530420932798634e+01,2.119237598275954682e+01
6.123460662779185526e+01,1.879714858292162560e+01,1.996824478928651558e+01
6.026450535697628652e+01,2.079029000095244228e+01,1.894520464207126764e+01
6.141814703174495094e+01,1.985198670642267160e+01,1.872986626183237391e+01
6.187740810875166630e+01,2.078671673324960878e+01,1.733587515799872492e+01
6.123754473486409466e+01,2.193880278414074425e+01,1.682365248099515043e+01
6.331007859112813208e+01,2.006918608719583830e+01,1.662073532167602252e+01
6.674891751060819445e+01,1.680577079030609156e+01,1.644531169908569268e+01
6.611010625761019810e+01,1.853089250176639169e+01,1.535900124062338534e+01
6.735572198781272846e+01,1.828748544768247442e+01,1.435679256450478825e+01
6.975695462521748880e+01,1.641123133842615545e+01,1.383181403635635398e+01
7.273127749242983953e+01,1.351668427868392541e+01,1.375203822888622973e+01
