L,C,R
0.000000000000000000e+00,1.000000000000000000e+02,0.000000000000000000e+00
1.125740307064832280e+01,7.748519385870335441e+01,1.125740307064832280e+01
2.086973266573771113e+01,6.091622356117586179e+01,1.821404377308643063e+01
2.934463855552683853e+01,4.967129706236992348e+01,2.098406438210323799e+01
3.081772598869990176e+01,4.679537969093680516e+01,2.238689432036329308e+01
3.867088921568352333e+01,3.301655303424003307e+01,2.831255775007643649e+01
4.260857608263560081e+01,2.752629600533175491e+01,2.986512791203263717e+01
4.594606883708314626e+01,2.274159205928203775e+01,3.131233910363481598e+01
4.703046873211872736e+01,2.189936941012103588e+01,3.107016185776022965e+01
4.919108688742363711e+01,1.869381573439553890e+01,3.211509737818082755e+01
4.854360356094051099e+01,2.094976289330998753e+01,3.050663354574950858e+01
5.240800452179305324e+01,1.759386996211189214e+01,2.999812551609506173e+01
5.274250099194325259e+01,1.878105325381120849e+01,2.847644575424554603e+01
5.306004945102770876e+01,2.025559855887016880e+01,2.668435199010212955e+01
5.256714568786390629e+01,2.087430363182676274e+01,2.655855068030933808e+01
5.322351869229726873e+01,2.130361042643795955e+01,2.547287088126477883e+01
5.467829301545352649e+01,2.132879910325295114e+01,2.399290788129352947e+01
5.783939701006604395e+01,1.905545119184950664e+01,2.310515179808446362e+01
5.764916704263390557e+01,1.878200896003986387e+01,2.356882399732624478e+01
6.116807397941590096e+01,1.585227232299289390e+01,2.297965369759122112e+01
6.075326743184817957e+01,1.785785739724147803e+01,2.138887517091035662e+01
6.162078386774837924e+01,1.732405626452357339e+01,2.105515986772805803e+01
6.080675289672681316e+01,1.768624477529645134e+01,2.150700232797673905e+01
6.319184057275271726e+01,1.594113089616392465e+01,2.086702853108336697e+01
6.337481131416379299e+01,1.730958868163108377e+01,1.931560000420512679e+01
6.372811861838498970e+01,1.787411943499090583e+01,1.839776194662411157e+01
6.871496520727971813e+01,1.332568452038096574e+01,1.795935027233932502e+01
6.755301579869522755e+01,1.545979692155677121e+01,1.698718727974801368e+01
6.742968482544176823e+01,1.668314789564476186e+01,1.588716727891348945e+01
6.937968832021688570e+01,1.552000665510072785e+01,1.510030502468240421e+01
6.815916540175709315e+01,1.723389461068662598e+01,1.460693998755630041e+01
